N	2gram	Tiupa_Lite_1	Problema
1	то что	10	42
2	то есть	6	33
3	и в	8	32
4	и не	12	31
5	не есть	2	29
6	не менее	7	19
7	в этом	12	19
8	тем не	2	18
9	не только	24	17
10	потому что	3	16
11	а не	16	15
12	в себе	7	15
13	как бы	7	14
14	может быть	13	14
15	но в	3	14
16	и тем	4	13
17	в нем	2	13
18	как раз	4	13
19	что в	3	12
20	том что	14	12
21	так и	4	12
22	и даже	3	11
23	также и	3	11
24	о том	2	11
25	то же	5	10
26	прежде всего	11	10
27	в этой	4	10
28	отнюдь не	2	10
29	нет ничего	2	10
30	но не	4	9
31	в том	16	9
32	но и	17	9
33	раз и	2	9
34	еще не	4	9
35	в данном	5	9
36	данном случае	4	8
37	не может	5	8
38	все эти	2	8
39	он и	3	8
40	было бы	2	8
41	общего с	2	8
42	в своей	4	8
43	никогда не	4	7
44	и является	2	7
45	такого рода	10	7
46	того что	6	7
47	что он	5	7
48	во всяком	3	7
49	тем что	2	7
50	только в	8	7
51	и есть	3	6
52	в конце	4	6
53	при этом	19	6
54	в самом	3	6
55	в виду	3	6
56	то и	2	6
57	таким образом	3	6
58	это не	4	6
59	и то	2	6
60	его в	3	6
61	как это	8	6
62	в то	5	6
63	за пределы	2	6
64	в его	7	6
65	самом деле	2	6
66	что такое	2	6
67	в своем	11	5
68	или иной	2	5
69	а только	2	5
70	еще и	3	5
71	в сознании	2	5
72	не является	2	5
73	тем более	2	5
74	связи с	6	5
75	далеко не	3	5
76	казалось бы	5	4
77	не в	8	4
78	по поводу	2	4
79	один из	3	4
80	только то	2	4
81	на том	2	4
82	не говоря	2	4
83	в их	3	4
84	и только	2	4
85	мышления и	2	4
86	не было	3	4
87	а в	3	4
88	как он	2	4
89	же в	5	4
90	а также	5	4
91	как в	5	4
92	только на	2	4
93	тем самым	5	4
94	в связи	4	4
95	уже в	5	3
96	что не	2	3
97	с другой	3	3
98	что его	3	3
99	несмотря на	3	3
100	искусства и	5	3
101	всяком случае	2	3
102	хотя бы	2	3
103	из них	4	3
104	для этого	4	3
105	и его	4	3
106	и вполне	2	3
107	же и	3	3
108	точки зрения	6	3
109	в искусстве	2	3
110	по этому	2	3
111	будь то	2	3
112	для себя	5	3
113	в жизни	6	3
114	в случае	4	3
115	как и	6	3
116	того же	2	3
117	мы в	2	3
118	к тому	2	3
119	да и	3	3
120	уже не	7	3
121	не на	2	3
122	с точки	2	3
123	можно было	2	3
124	как будто	2	3
125	дело в	3	3
126	россии как	2	2
127	xx века	2	2
128	особого рода	2	2
129	для него	2	2
130	например в	3	2
131	так или	8	2
132	говоря уже	2	2
133	поскольку он	2	2
134	а потому	2	2
135	что для	2	2
136	во многих	2	2
137	не как	4	2
138	одно из	3	2
139	из этих	2	2
140	я и	7	2
141	между тем	2	2
142	с собой	4	2
143	с его	5	2
144	для них	2	2
145	могут быть	2	2
146	однако в	2	2
147	то он	2	2
148	и того	2	2
149	в качестве	17	2
150	о своем	2	2
151	на один	2	2
152	в сущности	2	2
153	по преимуществу	4	2
154	для своего	2	2
155	или иначе	9	2
156	тому как	2	2
157	подобно тому	2	2
158	на себя	2	2
159	в области	3	2
