N	2gram	Tiupa_Teor_1	SlovoVZh
1	не может	4	16
2	точки зрения	9	14
3	может быть	17	14
4	и его	8	13
5	как бы	5	13
6	таким образом	3	12
7	и в	18	12
8	в нашем	4	11
9	отношению к	4	11
10	по отношению	4	11
11	и не	13	10
12	если бы	3	9
13	прежде всего	2	8
14	художественного произведения	4	7
15	сказать что	3	7
16	в нем	4	6
17	при этом	12	6
18	в том	16	6
19	только в	6	6
20	в жизни	2	5
21	то что	3	5
22	никогда не	4	5
23	а не	9	5
24	можно сказать	3	5
25	то же	7	5
26	как и	4	5
27	том что	9	5
28	отнюдь не	3	5
29	как в	5	5
30	героя и	5	5
31	но в	9	5
32	в виду	5	5
33	и к	3	4
34	отношение к	5	4
35	так и	10	4
36	с другой	7	4
37	уже не	4	4
38	в литературе	2	4
39	не в	7	4
40	в этом	8	4
41	его в	2	4
42	дело в	2	4
43	в самом	4	4
44	за пределы	2	4
45	и является	2	4
46	не только	16	4
47	в них	2	3
48	отношении к	2	3
49	не менее	4	3
50	в художественном	3	3
51	в своей	6	3
52	быть и	2	3
53	все это	2	3
54	как к	2	3
55	и по	2	3
56	все эти	2	3
57	но и	9	3
58	того что	4	3
59	тем не	3	3
60	ни в	2	3
61	он должен	2	3
62	так же	2	3
63	и ее	3	3
64	в себе	9	3
65	для него	2	3
66	в пределах	5	3
67	еще не	4	3
68	в поэзии	2	3
69	и для	2	3
70	внутренней речи	13	3
71	между тем	5	3
72	имеет в	2	3
73	место в	5	2
74	частной жизни	2	2
75	с его	5	2
76	что и	2	2
77	в душе	8	2
78	делает его	2	2
79	что в	9	2
80	данном случае	5	2
81	вместе с	2	2
82	значения и	2	2
83	в этих	3	2
84	между собой	3	2
85	в форме	2	2
86	в своем	4	2
87	в отношении	3	2
88	в какой	2	2
89	другой стороны	5	2
90	это не	2	2
91	мы имеем	7	2
92	и другие	2	2
93	этих двух	2	2
94	с одной	2	2
95	была бы	3	2
96	в себя	3	2
97	и что	3	2
98	с точки	3	2
99	и здесь	2	2
100	и притом	2	2
101	с другими	5	2
102	до известной	2	2
103	в данном	8	2
104	и то	2	2
105	в момент	2	2
106	но не	9	2
107	могут быть	4	2
108	имеем в	3	2
109	в формах	2	2
110	в то	6	2
111	одной стороны	2	2
112	мы в	2	2
113	имеет место	2	2
114	как это	8	2
115	к его	2	2
116	совпадает с	3	2
117	он не	3	2
118	известной степени	3	2
119	в его	6	2
120	и потому	2	2
121	между ними	4	2
