N	2gram	Savitsky_E_1	Literetu
1	не только	18	24
2	в качестве	14	17
3	но и	14	17
4	а не	2	16
5	в том	11	16
6	в частности	5	15
7	том что	6	14
8	может быть	6	13
9	и не	14	12
10	в этом	12	12
11	прежде всего	9	11
12	в своем	14	11
13	то что	6	10
14	не в	5	8
15	и в	37	8
16	только в	9	8
17	как это	4	8
18	в его	2	7
19	как бы	6	7
20	в себе	9	7
21	как и	7	6
22	того что	7	6
23	точки зрения	23	6
24	то есть	6	6
25	с этой	6	5
26	же в	2	5
27	же время	14	5
28	а также	7	5
29	как в	3	5
30	не может	9	5
31	то же	15	5
32	тем самым	5	5
33	в данном	3	5
34	в то	16	5
35	столь же	5	4
36	в случае	2	4
37	в силу	2	4
38	представляет собой	3	4
39	но не	5	4
40	культуры в	4	4
41	и тем	3	4
42	из них	3	4
43	по преимуществу	2	4
44	в своей	8	4
45	данном случае	2	4
46	со стороны	5	4
47	так и	10	4
48	никогда не	3	4
49	всего лишь	3	4
50	духовной жизни	2	4
51	в своих	2	4
52	в этой	2	4
53	что в	21	3
54	с другой	7	3
55	в культуре	3	3
56	в пределах	25	3
57	и прежде	3	3
58	в самом	4	3
59	несмотря на	4	3
60	как совокупность	4	3
61	в сфере	3	3
62	жизни и	2	3
63	всего в	2	3
64	в их	11	3
65	а в	2	3
66	таким образом	2	3
67	этой точки	5	3
68	более чем	2	3
69	и даже	6	3
70	потому что	3	3
71	во всяком	3	3
72	но в	14	3
73	по своей	2	3
74	также и	7	3
75	далеко не	2	3
76	дело в	3	3
77	в области	11	3
78	мира в	4	3
79	должна быть	2	2
80	для них	2	2
81	все более	9	2
82	отнюдь не	9	2
83	для понимания	2	2
84	россии как	3	2
85	в мире	2	2
86	к тому	8	2
87	или иную	3	2
88	и того	2	2
89	или иной	4	2
90	того же	3	2
91	ту или	3	2
92	одной стороны	8	2
93	было бы	8	2
94	всяком случае	3	2
95	даже в	4	2
96	не является	3	2
97	говоря уже	2	2
98	не есть	2	2
99	не к	2	2
100	не говоря	2	2
101	не на	4	2
102	и только	3	2
103	этом отношении	3	2
104	с одной	8	2
105	из того	2	2
106	ко всему	2	2
107	во втором	2	2
108	хотя бы	15	2
109	с точки	17	2
110	поскольку он	2	2
111	во многих	4	2
112	можно было	3	2
113	в сферу	2	2
114	и то	2	2
115	между тем	8	2
116	тем более	4	2
117	тем что	3	2
118	могут быть	2	2
119	на себя	3	2
120	себе в	3	2
121	как будто	2	2
122	о том	3	2
123	в россии	5	2
