N	2gram	Bakhtin_sl_1	Sovremen
1	не может	14	17
2	точки зрения	16	12
3	может быть	14	12
4	таким образом	9	11
5	мы не	2	9
6	в каждом	4	8
7	в этом	12	7
8	и в	41	7
9	и не	16	6
10	как и	4	6
11	в результате	3	6
12	ничего не	4	6
13	прежде всего	8	5
14	все эти	9	5
15	и наконец	4	5
16	с точки	8	5
17	в условиях	2	5
18	как бы	12	4
19	если мы	2	4
20	в целом	2	4
21	в зависимости	3	4
22	это не	6	4
23	а в	6	4
24	не только	16	4
25	в том	3	4
26	из них	3	4
27	точку зрения	3	4
28	зависимости от	3	4
29	так как	3	4
30	все же	7	3
31	он может	2	3
32	между собой	2	3
33	может не	8	3
34	все это	5	3
35	то же	14	3
36	в нем	30	3
37	а не	15	3
38	и к	5	3
39	для нас	2	3
40	у нас	2	3
41	не в	7	3
42	одна из	2	3
43	еще не	4	3
44	он в	5	3
45	при этом	6	3
46	было бы	3	3
47	у каждого	2	3
48	в одном	2	3
49	и все	4	3
50	в первом	3	3
51	в себе	3	3
52	но в	8	3
53	и потому	4	3
54	так сказать	5	2
55	совершенно не	2	2
56	не могут	3	2
57	в виде	2	2
58	у него	3	2
59	быть и	4	2
60	и во	3	2
61	из этих	3	2
62	из одного	2	2
63	что все	2	2
64	своего предмета	5	2
65	с одной	4	2
66	еще более	5	2
67	как мы	8	2
68	уже не	2	2
69	в свою	3	2
70	или иной	9	2
71	роль в	2	2
72	и даже	6	2
73	и по	2	2
74	той же	2	2
75	мы видим	2	2
76	во всяком	7	2
77	свою очередь	2	2
78	на этом	2	2
79	а на	2	2
80	могут быть	19	2
81	с этим	3	2
82	с другом	2	2
83	на его	8	2
84	такого рода	2	2
85	в самом	5	2
86	друг с	2	2
87	в которой	4	2
88	в его	13	2
89	всяком случае	5	2
