N	2gram	Vygotskiy__1	Mirosoze
1	и в	23	46
2	может быть	14	21
3	в этом	17	20
4	никогда не	2	18
5	для него	2	18
6	и не	9	18
7	не только	16	18
8	но и	14	15
9	не может	12	15
10	как и	14	13
11	а не	3	13
12	прежде всего	10	12
13	потому что	6	12
14	но в	5	10
15	он не	5	10
16	в себе	6	10
17	не в	4	9
18	человека к	2	8
19	как бы	11	8
20	в своем	3	8
21	так как	7	8
22	она не	3	8
23	связана с	2	7
24	человека и	3	7
25	в этой	7	7
26	в нашем	2	7
27	что он	7	7
28	и к	4	7
29	и потому	2	7
30	как в	4	7
31	хотя бы	4	7
32	вопрос о	7	6
33	что это	3	6
34	так же	16	6
35	того что	15	6
36	жизни и	2	6
37	не могу	3	6
38	то же	8	5
39	я не	3	5
40	бы и	2	5
41	в отношении	10	5
42	что все	4	5
43	и вот	2	5
44	есть прежде	2	5
45	в самом	7	5
46	один из	2	5
47	что она	4	5
48	в конце	2	5
49	и все	5	5
50	есть не	2	5
51	во всем	3	5
52	к тому	4	5
53	к другу	2	5
54	то что	17	5
55	в своей	4	5
56	для того	15	5
57	и его	6	5
58	в его	14	5
59	и это	3	5
60	что в	14	4
61	тому что	5	4
62	для этого	5	4
63	способен к	2	4
64	что у	2	4
65	не имеет	2	4
66	с его	4	4
67	в свою	4	4
68	том что	21	4
69	должен быть	4	4
70	так и	5	4
71	уже не	2	4
72	того чтобы	17	4
73	вопроса о	2	4
74	его на	2	4
75	же как	6	3
76	и от	3	3
77	на все	3	3
78	в такой	3	3
79	ни в	4	3
80	в том	24	3
81	высшей степени	4	3
82	что они	3	3
83	смысле слова	3	3
84	в своих	5	3
85	и на	8	3
86	сказать что	11	3
87	и с	9	3
88	по своей	5	3
89	о том	6	3
90	в высшей	4	3
91	как он	3	3
92	если бы	5	3
93	в них	2	3
94	связано с	2	3
95	до сих	4	3
96	сих пор	4	3
97	от того	6	3
98	того как	2	3
99	той же	2	3
100	тем что	6	3
101	он в	3	3
102	только в	6	3
103	в чем	4	3
104	уже в	3	2
105	в этих	2	2
106	все время	6	2
107	и если	3	2
108	и той	2	2
109	хотя и	2	2
110	в сфере	3	2
111	не к	2	2
112	по отношению	7	2
113	отношения к	3	2
114	и других	3	2
115	лишь в	6	2
116	в новых	3	2
117	должно быть	2	2
118	его не	3	2
119	а в	2	2
120	и те	2	2
121	в основе	8	2
122	точки зрения	26	2
123	приходит к	3	2
124	но этот	2	2
125	эта мысль	2	2
126	бы в	5	2
127	между тем	9	2
128	и обнаруживает	2	2
129	на этом	2	2
130	ничего кроме	2	2
131	с собой	2	2
132	превращается в	3	2
133	тогда когда	3	2
134	по себе	5	2
135	мы видим	4	2
136	связи с	3	2
137	и что	5	2
138	себе и	2	2
139	в сущности	6	2
140	во всех	3	2
141	с таким	3	2
142	отношению к	7	2
143	вместе с	9	2
144	ее в	2	2
145	одной и	2	2
146	говорит что	4	2
147	вот почему	2	2
148	из этой	2	2
149	можно было	3	2
150	от этого	2	2
151	сам по	3	2
152	сознания и	3	2
153	в которой	3	2
154	ничего не	3	2
155	и поэтому	2	2
