N	2gram	Tiupa_Lite_2	Narrotol
1	не только	8	26
2	а не	20	17
3	представляет собой	2	16
4	но и	10	15
5	тогда как	9	15
6	в том	10	14
7	при этом	6	14
8	в качестве	5	14
9	и не	11	14
10	том что	7	13
11	и в	19	13
12	в этом	9	13
13	состоит в	9	12
14	такого рода	9	12
15	в частности	4	11
16	может быть	17	10
17	в данном	3	10
18	своего рода	13	9
19	так и	7	9
20	а в	3	9
21	то есть	5	9
22	картина мира	2	8
23	то что	7	8
24	в себе	6	8
25	не может	9	8
26	не в	4	8
27	коммуникативного события	2	8
28	в рамках	4	6
29	никогда не	3	6
30	в жизни	2	6
31	прежде всего	4	6
32	и к	2	6
33	того что	5	6
34	в его	4	6
35	и т.п	10	6
36	коммуникативное событие	3	6
37	данном случае	3	6
38	со стороны	3	6
39	жизни в	4	6
40	героя в	2	6
41	все же	2	6
42	у него	2	6
43	как бы	2	6
44	а также	2	6
45	всего лишь	3	6
46	ничего не	3	6
47	но в	2	6
48	точки зрения	4	5
49	не столько	3	5
50	тем не	2	5
51	что он	3	5
52	одной стороны	6	5
53	он не	5	5
54	я не	5	5
55	в нем	3	5
56	отношению к	3	5
57	по отношению	4	5
58	с одной	7	5
59	тем самым	3	5
60	с другой	8	5
61	в то	9	5
62	я в	7	5
63	о том	2	5
64	не менее	6	4
65	отнюдь не	4	4
66	в глазах	3	4
67	в конце	2	4
68	же в	2	4
69	как и	10	4
70	все что	2	4
71	что в	4	4
72	для него	4	4
73	при всей	2	4
74	не является	2	4
75	не к	2	4
76	жизни и	4	4
77	в ее	2	4
78	то же	12	4
79	в какой	2	4
80	уже не	2	4
81	в мире	9	4
82	свидетельствует о	2	4
83	следует признать	3	4
84	в другом	3	4
85	в этой	3	4
86	и т.д	7	4
87	как это	2	4
88	с ним	2	4
89	в себя	3	4
90	мира в	2	4
91	конечном счете	5	3
92	о которой	2	3
93	а к	2	3
94	соответствии с	2	3
95	что я	2	3
96	одна из	5	3
97	но не	5	3
98	же время	9	3
99	и сам	2	3
100	как раз	2	3
101	в конечном	5	3
102	для себя	2	3
103	один из	4	3
104	в целом	2	3
105	то и	3	3
106	как к	3	3
107	и даже	8	3
108	и для	3	3
109	и его	3	3
110	с этой	2	3
111	этом отношении	3	3
112	как правило	3	3
113	едва ли	4	3
114	в принципе	5	2
115	разговоре с	2	2
116	же как	2	2
117	одно из	2	2
118	личности в	3	2
119	восходит к	2	2
120	однако в	6	2
121	в нашем	2	2
122	хотя бы	2	2
123	столь же	5	2
124	как уже	2	2
125	на фоне	5	2
126	вовсе не	2	2
127	художественного письма	2	2
128	к своему	2	2
129	равной степени	2	2
130	для нас	2	2
131	и т	2	2
132	в начале	3	2
133	с другим	2	2
134	присутствия в	2	2
135	еще не	2	2
136	было бы	2	2
137	и он	3	2
138	себе и	3	2
139	со своей	2	2
140	не могу	2	2
141	не вполне	2	2
142	в него	2	2
143	что и	2	2
144	себя в	6	2
145	хх века	8	2
146	в культуре	3	2
147	к адресату	2	2
148	и читателя	2	2
149	жизни на	2	2
150	у нас	5	2
151	быть может	3	2
152	и что	2	2
153	с точки	3	2
154	как на	3	2
155	той же	2	2
156	мы не	4	2
157	тому как	2	2
158	но это	3	2
159	не случайно	4	2
160	в результате	2	2
161	в ней	4	2
162	подобно тому	2	2
163	в своих	2	2
164	всей своей	3	2
165	т п	2	2
166	и вновь	2	2
167	в равной	3	2
168	как он	2	2
169	в каждой	2	2
170	потому что	2	2
171	в области	4	2
172	могло бы	2	2
