N	2gram	Propp_Morf_1	VLabPisa
1	таким образом	21	27
2	в этом	14	26
3	и в	13	25
4	и т	41	24
5	не только	4	22
6	может быть	52	21
7	хотя бы	4	20
8	и не	12	19
9	т е	21	17
10	не может	14	17
11	т д	39	15
12	прежде всего	9	13
13	в том	6	13
14	в частности	2	12
15	как это	3	12
16	с другой	8	11
17	из них	3	11
18	не могут	4	10
19	представляет собою	6	10
20	в качестве	5	10
21	о том	2	10
22	к этому	3	9
23	об этом	4	9
24	что в	8	9
25	и др	10	9
26	но и	4	9
27	то же	7	9
28	все эти	2	8
29	другой стороны	4	8
30	могут быть	16	8
31	же в	2	7
32	как и	3	7
33	том что	4	7
34	было бы	3	7
35	отношению к	4	7
36	во всех	4	7
37	по отношению	4	7
38	а не	11	7
39	это не	6	6
40	это и	2	6
41	то что	8	6
42	более или	2	6
43	главным образом	4	6
44	так и	6	6
45	или менее	2	6
46	между тем	5	6
47	в то	3	6
48	в результате	7	5
49	тому что	4	5
50	все же	7	5
51	в пределах	3	5
52	связи с	10	5
53	и есть	2	5
54	как бы	3	5
55	один из	5	5
56	приводит к	2	5
57	сказать что	2	5
58	действующих лиц	11	5
59	только в	2	5
60	не в	3	5
61	не является	3	5
62	к тому	4	4
63	перед нами	10	4
64	в целом	3	4
65	что он	4	4
66	с его	2	4
67	можно сказать	2	4
68	одна из	4	4
69	в связи	9	4
70	в этой	2	4
71	утверждать что	3	4
72	и к	4	3
73	во время	6	3
74	и ее	3	3
75	с тем	2	3
76	и как	5	3
77	только что	2	3
78	в другую	2	3
79	у нас	2	3
80	по существу	12	3
81	из его	2	3
82	что они	2	3
83	но как	2	3
84	или в	4	3
85	с этим	11	3
86	например в	2	3
87	вслед за	5	3
88	следующим образом	3	3
89	далеко не	5	3
90	его в	2	3
91	что и	7	3
92	и их	2	3
93	этот вопрос	2	3
94	того что	3	3
95	и по	2	3
96	так же	3	3
97	в которых	2	3
98	точки зрения	2	3
99	она не	2	3
100	из приведенных	2	3
101	не менее	5	2
102	на вопрос	2	2
103	в самых	2	2
104	три года	3	2
105	связана с	3	2
106	не всегда	9	2
107	вовсе не	4	2
108	что при	2	2
109	что его	2	2
110	а затем	4	2
111	но не	4	2
112	но для	2	2
113	в различных	2	2
114	они и	3	2
115	смысле слова	4	2
116	так например	3	2
117	еще не	3	2
118	для того	2	2
119	то это	3	2
120	если бы	2	2
121	мы имеем	9	2
122	ни одна	4	2
123	что она	2	2
124	всяком случае	2	2
125	если в	5	2
126	при помощи	9	2
127	он может	2	2
128	не по	2	2
129	от того	3	2
130	даже не	3	2
131	а в	7	2
132	сюжетов и	2	2
133	того чтобы	3	2
134	из которых	3	2
135	что такое	3	2
136	и для	2	2
137	можно было	2	2
138	между собою	2	2
139	тому как	5	2
140	если они	2	2
141	также и	4	2
142	во всяком	2	2
143	хотя и	3	2
144	он не	3	2
145	подобно тому	6	2
146	как например	2	2
147	говорить о	3	2
148	в другом	2	2
149	самого себя	2	2
150	ту же	2	2
151	что мы	2	2
152	в образе	4	2
153	в которой	3	2
154	но в	2	2
155	значит что	3	2
