N	2gram	Bakhtin_Pr_2	formyVre
1	и в	45	46
2	в этом	20	22
3	прежде всего	11	14
4	вовсе не	7	13
5	в романе	3	13
6	и его	8	12
7	только в	9	11
8	не только	16	11
9	во всех	4	11
10	в том	8	10
11	как бы	15	10
12	точки зрения	19	10
13	то есть	50	10
14	но в	6	10
15	у него	6	9
16	не в	8	9
17	мы уже	3	9
18	но и	15	9
19	и не	42	9
20	и для	2	9
21	как и	14	8
22	в его	22	8
23	жизни и	15	8
24	то же	5	8
25	с точки	9	8
26	потому что	8	8
27	из них	9	8
28	в них	4	7
29	в одном	6	7
30	может быть	18	7
31	то что	5	7
32	так и	3	7
33	и на	7	7
34	так сказать	7	7
35	никогда не	17	6
36	при этом	2	6
37	как мы	8	6
38	здесь в	2	6
39	еще не	9	6
40	его в	3	6
41	все же	4	6
42	все это	5	6
43	в особенности	2	6
44	те же	2	6
45	человека в	5	6
46	в основе	2	6
47	так как	5	6
48	и с	7	6
49	в своем	5	5
50	в дальнейшем	2	5
51	в пределах	4	5
52	в то	5	5
53	но не	6	5
54	он не	9	5
55	и др	4	5
56	в нем	20	5
57	что в	6	5
58	все эти	4	5
59	в смысле	2	5
60	и у	2	5
61	должно быть	4	5
62	уже в	4	4
63	жизни в	2	4
64	человека и	2	4
65	в образе	3	4
66	же время	3	4
67	с ним	8	4
68	том что	7	4
69	так что	2	4
70	что они	3	4
71	есть и	3	4
72	с другом	2	4
73	друг с	2	4
74	в котором	7	4
75	его жизни	2	4
76	уже говорили	2	4
77	в мире	3	4
78	и их	6	4
79	конечно не	6	4
80	как в	4	4
81	мир в	2	4
82	отношения к	2	4
83	человеческой жизни	2	4
84	а не	10	4
85	и он	3	4
86	их в	7	4
87	в себе	5	4
88	в истории	2	4
89	о том	3	4
90	и самое	2	4
91	все его	3	4
92	том числе	2	3
93	не было	2	3
94	себя и	2	3
95	все они	4	3
96	не является	3	3
97	к этому	4	3
98	переходим к	2	3
99	что он	7	3
100	и как	2	3
101	как у	2	3
102	в большинстве	2	3
103	и идеи	5	3
104	для него	9	3
105	тот же	2	3
106	хотя и	2	3
107	нет и	3	3
108	точка зрения	7	3
109	что и	5	3
110	ее в	2	3
111	отношение к	8	3
112	в форме	2	3
113	за счет	2	3
114	не на	4	3
115	и другие	4	3
116	таким образом	11	3
117	в их	4	3
118	уже не	6	3
119	того что	3	3
120	и даже	3	3
121	и по	2	3
122	и прежде	2	3
123	а в	3	3
124	жизнь и	3	3
125	на основе	2	3
126	тем что	2	3
127	имеем в	2	3
128	на протяжении	3	3
129	в этих	4	3
130	большинстве случаев	2	3
131	в виду	2	3
132	этот большой	2	2
133	и затем	2	2
134	только для	2	2
135	не был	2	2
136	человек в	3	2
137	и более	2	2
138	числе и	2	2
139	вступают в	2	2
140	друг от	2	2
141	характерно что	2	2
142	лежит в	2	2
143	и других	3	2
144	это не	3	2
145	в одной	5	2
146	романа в	5	2
147	почти вовсе	3	2
148	что все	3	2
149	представление о	2	2
150	новое отношение	2	2
151	со своими	6	2
152	по себе	8	2
153	дело идет	6	2
154	или иной	3	2
155	можно сказать	2	2
156	протяжении всего	2	2
157	в самой	3	2
158	как его	2	2
159	именно в	3	2
160	у нас	2	2
161	своей жизни	3	2
162	мы видим	2	2
163	перестает быть	3	2
164	во все	2	2
165	а на	2	2
166	все что	3	2
167	между ними	4	2
168	всего романа	2	2
169	до конца	7	2
170	и пр	2	2
171	она не	5	2
172	было бы	4	2
173	и к	2	2
174	от друга	2	2
175	в сущности	7	2
176	и о	2	2
177	к ним	3	2
178	этого мира	2	2
179	и потому	6	2
180	в уста	3	2
181	один из	2	2
182	сих пор	2	2
183	мы видели	3	2
184	контакта с	3	2
185	в некоторых	2	2
186	и до	4	2
187	находится в	2	2
188	и т.п	6	2
189	опирается на	2	2
190	не может	24	2
191	здесь не	2	2
192	в зоне	4	2
193	если не	2	2
194	этом отношении	2	2
195	и вот	2	2
196	в той	3	2
197	образ человека	2	2
198	лишь в	2	2
199	и всегда	2	2
200	так же	5	2
201	как на	2	2
202	рядом с	3	2
203	значение для	3	2
204	но это	2	2
205	людей и	2	2
206	автора и	2	2
207	и от	3	2
208	мы имеем	2	2
209	могут быть	4	2
210	в литературе	6	2
211	не знает	4	2
212	видения и	3	2
213	далеко не	4	2
214	каждом из	2	2
215	в конце	4	2
216	как он	4	2
217	и становится	2	2
218	там где	6	2
219	как это	2	2
220	до сих	2	2
