N	3gram	Vinokur_Vv_1	VeschiIm
1	и т д	37	20
2	не может быть	8	18
3	не что иное	4	8
4	что иное как	4	8
5	т е в	4	7
6	по крайней мере	4	6
7	в том что	12	6
8	тем не менее	8	5
9	есть не что	2	5
10	в чем же	3	5
11	то же время	5	4
12	т е не	2	4
13	не только в	4	4
14	с точки зрения	2	4
15	в то же	5	4
16	и то что	2	4
17	в собственном смысле	2	3
18	в самом деле	5	3
19	тем что не	2	3
20	можно было бы	3	3
21	само по себе	3	3
22	сама по себе	3	3
23	вместе с тем	3	3
24	а так как	2	2
25	дело в том	2	2
26	в первом случае	2	2
27	можно сказать что	3	2
28	в данном случае	4	2
29	заключается в том	3	2
30	так или иначе	4	2
