N	2gram	Propp_Isto_2	Problemy
1	и в	15	35
2	как бы	6	31
3	и не	11	27
4	что он	24	24
5	в его	6	21
6	но в	6	19
7	не может	5	18
8	к себе	2	18
9	как и	2	18
10	в нем	7	16
11	то же	10	15
12	но и	14	14
13	может быть	17	14
14	все это	3	14
15	в сущности	2	14
16	и его	3	14
17	в этом	11	14
18	к нему	5	13
19	он не	8	13
20	прежде всего	5	12
21	и с	4	12
22	в другом	9	12
23	не в	7	10
24	самом деле	2	10
25	не только	18	10
26	то что	12	10
27	на самом	2	9
28	я не	2	8
29	самого начала	2	8
30	так и	5	8
31	себя и	2	8
32	с самого	2	8
33	потому что	9	8
34	мы уже	6	8
35	все же	9	8
36	и для	2	8
37	так же	13	7
38	а в	12	7
39	и наконец	5	7
40	еще не	9	7
41	отношению к	3	7
42	таким образом	7	7
43	слова в	2	6
44	что в	12	6
45	к тому	5	6
46	но это	4	6
47	что они	10	6
48	и что	6	6
49	что у	2	6
50	и на	4	6
51	не знает	2	6
52	в одном	5	6
53	но не	2	6
54	по отношению	3	6
55	только в	6	6
56	в том	6	5
57	да и	2	5
58	так что	6	5
59	в глаза	2	5
60	с ними	2	5
61	во время	2	5
62	он и	3	5
63	на него	5	5
64	как в	5	5
65	и то	2	5
66	в себе	4	5
67	и это	3	5
68	никогда не	15	4
69	с другой	2	4
70	но все	5	4
71	на его	2	4
72	же и	3	4
73	и так	2	4
74	но он	4	4
75	в эту	2	4
76	его в	10	4
77	так как	14	4
78	у него	4	4
79	а не	5	4
80	говорили что	2	4
81	тем что	4	4
82	он в	3	4
83	как будто	3	4
84	что это	6	4
85	уже в	2	3
86	и говорит	2	3
87	такой же	2	3
88	тому же	2	3
89	о своей	2	3
90	в него	2	3
91	в виду	2	3
92	с ее	2	3
93	из них	2	3
94	другой стороны	2	3
95	его и	4	3
96	в одной	4	3
97	все эти	4	3
98	не мог	3	3
99	того что	3	3
100	это не	2	3
101	сказать что	2	3
102	мы должны	4	3
103	этого не	5	3
104	в котором	5	3
105	с тем	9	3
106	эти слова	3	3
107	с этим	5	3
108	том что	7	3
109	было бы	5	3
110	во всех	2	3
111	что и	6	3
112	когда он	3	3
113	а с	2	3
114	только с	2	3
115	ничего не	7	3
116	так сказать	2	2
117	на вопрос	2	2
118	в этих	11	2
119	не знал	2	2
120	вопрос о	4	2
121	уже с	2	2
122	мы знаем	11	2
123	ни в	2	2
124	при этом	4	2
125	например в	2	2
126	мог бы	3	2
127	на нее	2	2
128	мы видели	2	2
129	на которой	2	2
130	не просто	2	2
131	и по	2	2
132	увидим что	3	2
133	тому как	3	2
134	в которых	2	2
135	их в	2	2
136	в ней	4	2
137	к ней	2	2
138	и пусть	2	2
139	о том	3	2
140	как он	3	2
141	тогда и	2	2
142	всех этих	3	2
143	смысле этого	2	2
144	он дает	2	2
145	будто бы	2	2
146	в жизни	2	2
147	а затем	2	2
148	очень часто	4	2
149	здесь в	2	2
150	когда она	3	2
151	мы увидим	8	2
152	одной из	4	2
153	о нем	4	2
154	вместе с	7	2
155	приводит к	2	2
156	так в	3	2
157	показать что	2	2
158	хотя бы	2	2
159	в которой	2	2
160	той же	2	2
161	или в	2	2
162	можно было	5	2
163	с другими	2	2
164	связан с	5	2
165	мы можем	8	2
166	подобно тому	3	2
167	еще до	2	2
