N	4gram	Bakhtin_Pr_5	Problemy
1	в то же время	10	5
2	и сам знаю что	2	3
3	но в то же	4	3
4	в той или иной	4	3
5	сам виллель выжидал да	2	2
6	одна и та же	2	2
7	не удастся держись а	2	2
8	выжидал да что тут	2	2
9	голосов в пределах одного	2	2
10	и сам виллель выжидал	2	2
11	пределах одного разложившегося сознания	2	2
12	с тобой яков петрович	2	2
13	ты идешь совершить подвиг	2	2
14	одно и то же	3	2
15	в пределах одного разложившегося	2	2
16	идешь совершить подвиг добродетели	2	2
17	виллель выжидал да что	2	2
18	да что тут виллель	2	2
19	удастся держись а удастся	2	2
20	другого в слове другого	2	2
21	держись а удастся крепись	2	2
22	мы уже говорили что	3	2
