N	2gram	Tiupa_Hudo_1	Dialekti
1	и не	15	30
2	может быть	14	20
3	и в	19	19
4	не только	16	19
5	по себе	2	18
6	а не	9	16
7	в себе	9	15
8	то что	4	14
9	что она	2	14
10	в том	18	14
11	как бы	9	14
12	потому что	3	14
13	вовсе не	2	13
14	но и	10	12
15	то же	10	12
16	точки зрения	10	12
17	ни в	5	10
18	как и	2	10
19	и как	3	10
20	в нем	5	10
21	так и	11	10
22	том что	8	10
23	это не	2	10
24	сказать что	4	10
25	времени и	2	9
26	никогда не	2	9
27	не может	7	9
28	личности в	4	8
29	прежде всего	4	8
30	с точки	3	8
31	не в	7	8
32	в этом	11	8
33	в своей	5	8
34	сама по	2	7
35	в душе	8	7
36	как это	5	7
37	и к	3	7
38	что в	6	7
39	и притом	3	7
40	и то	4	7
41	я не	2	6
42	что он	3	6
43	отнюдь не	2	6
44	в то	6	6
45	но не	11	6
46	того что	4	6
47	личности и	3	6
48	не обязательно	2	5
49	с другой	7	5
50	же время	5	5
51	по своему	2	5
52	можно сказать	5	5
53	в самом	5	5
54	и потому	2	5
55	что и	2	5
56	и это	2	5
57	а именно	2	5
58	как раз	3	5
59	в одно	2	5
60	и что	3	5
61	и его	12	5
62	но как	2	5
63	говорить о	3	5
64	только в	5	5
65	о том	2	5
66	в виду	5	5
67	во мне	2	4
68	в своем	2	4
69	в одном	2	4
70	в ее	5	4
71	субъекта и	3	4
72	при этом	13	4
73	одно и	3	4
74	еще не	3	4
75	к нему	3	4
76	за пределы	2	4
77	той или	4	4
78	он не	4	4
79	быть и	2	4
80	все это	2	4
81	во времени	4	4
82	другой стороны	5	4
83	таким образом	3	4
84	заключается в	2	4
85	и по	2	4
86	а в	12	4
87	одно из	2	4
88	могут быть	4	4
89	но он	3	4
90	в каком	2	4
91	в другом	3	4
92	по своей	7	4
93	с ним	2	4
94	не менее	3	3
95	не сама	2	3
96	и более	2	3
97	о чем	2	3
98	в этих	3	3
99	была бы	3	3
100	а только	4	3
101	об этом	2	3
102	уже не	4	3
103	в этой	2	3
104	даже в	3	3
105	мы имеем	6	3
106	в той	3	3
107	в данном	4	3
108	его в	2	3
109	в чем	2	3
110	в противоположность	3	2
111	в узком	3	2
112	в частности	13	2
113	в какой	2	2
114	в системе	2	2
115	именно в	2	2
116	если мы	2	2
117	к тому	4	2
118	тем не	3	2
119	не будет	2	2
120	или менее	5	2
121	или иным	3	2
122	своей природе	2	2
123	жизнь личности	2	2
124	в искусстве	7	2
125	так или	3	2
126	себя в	7	2
127	в мире	21	2
128	во всех	3	2
129	дело не	2	2
130	ее в	2	2
131	в их	5	2
132	тому что	2	2
133	так же	2	2
134	не на	3	2
135	собственно говоря	2	2
136	например в	3	2
137	с ее	5	2
138	с одной	2	2
139	как в	2	2
140	тех или	2	2
141	более или	5	2
142	человеческой жизни	2	2
143	времени в	2	2
144	или в	2	2
145	или иначе	4	2
146	их в	3	2
147	в акте	3	2
148	между тем	4	2
149	не как	2	2
150	только о	2	2
151	того или	3	2
152	все эти	2	2
153	есть в	2	2
154	в которой	2	2
155	в области	6	2
156	но в	7	2
157	я и	7	2
158	мире и	2	2
159	в жизни	2	2
