N	2gram	Vinokur_St_3	KFilosof
1	может быть	19	43
2	в его	12	39
3	не может	7	27
4	и не	10	26
5	и в	25	22
6	в котором	5	21
7	а не	5	17
8	и его	3	17
9	только в	6	16
10	точки зрения	7	13
11	в этом	24	13
12	ни в	5	12
13	для него	3	12
14	но не	2	12
15	и это	5	12
16	все эти	3	11
17	в своей	4	11
18	не в	6	11
19	к нему	4	11
20	это не	7	10
21	все это	8	10
22	во всех	2	10
23	с точки	4	10
24	в целом	4	9
25	но и	9	9
26	в их	3	9
27	как бы	6	9
28	и для	4	9
29	не было	4	8
30	лишь в	4	8
31	если бы	4	8
32	было бы	7	8
33	со стороны	3	8
34	на основе	2	7
35	и здесь	3	7
36	вовсе не	2	7
37	должен быть	2	7
38	то что	12	7
39	в смысле	4	6
40	в том	20	6
41	но это	4	6
42	отношение к	4	6
43	и только	2	6
44	он не	5	6
45	уже не	3	6
46	никогда не	2	5
47	то же	5	5
48	его как	3	5
49	но все	2	5
50	не имеет	2	5
51	но как	2	5
52	но в	5	5
53	как и	4	5
54	что я	3	5
55	не только	12	5
56	все же	4	5
57	мы имеем	5	5
58	времени и	2	4
59	место в	6	4
60	что в	19	4
61	в своих	8	4
62	между тем	6	4
63	не как	2	4
64	том что	15	4
65	а в	6	4
66	в каком	4	4
67	в чем	4	4
68	независимо от	5	3
69	что это	16	3
70	не менее	2	3
71	в каждом	4	3
72	из его	7	3
73	я имею	3	3
74	в свою	2	3
75	до конца	3	3
76	и пр	13	3
77	нет в	3	3
78	на язык	3	3
79	в виду	2	3
80	здесь нет	2	3
81	и тем	4	3
82	от того	2	3
83	того что	5	3
84	и на	6	3
85	в ней	4	3
86	в то	7	3
87	о том	8	3
88	и ни	2	3
89	мы не	2	3
90	всех этих	3	3
91	тогда когда	2	3
92	этом смысле	4	3
93	еще не	2	3
94	нет и	2	3
95	самом деле	2	3
96	для того	2	3
97	что не	2	3
98	что этот	3	3
99	тем как	2	3
100	тем что	19	3
101	могут быть	2	3
102	в другом	3	3
103	ничего не	4	3
104	а с	2	2
105	прежде всего	10	2
106	его к	2	2
107	или иной	2	2
108	тем не	2	2
109	это есть	4	2
110	же время	3	2
111	он может	2	2
112	себя и	2	2
113	к историческому	2	2
114	другое дело	3	2
115	тому что	3	2
116	для этого	2	2
117	быть не	2	2
118	и других	2	2
119	а по	2	2
120	потому что	5	2
121	имеем в	2	2
122	он и	2	2
123	говорить о	3	2
124	я и	3	2
125	которой я	3	2
126	а как	4	2
127	с его	3	2
128	с тем	4	2
129	что эта	2	2
130	в жизни	4	2
131	к этому	3	2
132	что он	19	2
133	в качестве	4	2
134	и может	2	2
135	и тот	2	2
136	в это	2	2
137	но есть	2	2
138	этого слова	2	2
139	жизни но	2	2
140	дело не	2	2
141	так и	5	2
142	если я	2	2
143	как в	6	2
144	в виде	3	2
145	в этой	14	2
146	стал бы	2	2
147	не потому	2	2
148	в области	6	2
