N	2gram	Vinokur_St_2	FransuaR
1	и в	29	65
2	и др	2	24
3	как бы	5	22
4	и не	9	22
5	вовсе не	6	18
6	в том	27	16
7	в этом	21	15
8	но в	8	14
9	в нем	4	13
10	прежде всего	5	11
11	и на	6	11
12	и его	6	10
13	и потому	2	10
14	не только	19	10
15	но и	19	10
16	так и	9	10
17	все эти	2	10
18	в его	13	9
19	все это	11	9
20	по своему	2	8
21	в своем	9	8
22	в духе	2	8
23	и другие	2	8
24	и даже	3	8
25	его в	2	7
26	в области	2	7
27	точки зрения	5	7
28	только в	2	7
29	никогда не	3	6
30	том что	27	6
31	все же	6	6
32	времени и	4	6
33	в значительной	2	6
34	при этом	2	6
35	может быть	2	6
36	в ней	7	6
37	искусства и	2	6
38	века и	2	6
39	в отношении	2	6
40	на самом	3	6
41	в году	3	6
42	сказать что	2	6
43	так как	2	6
44	с его	2	5
45	в одном	6	5
46	в частности	4	5
47	еще более	4	5
48	в них	2	5
49	потому что	9	5
50	отличие от	2	5
51	для него	4	5
52	и пр	8	5
53	в своей	7	5
54	связь с	2	5
55	еще и	3	5
56	как в	3	5
57	как и	2	5
58	в той	5	5
59	между тем	5	5
60	xix века	3	5
61	в общем	3	4
62	связи с	4	4
63	и к	4	4
64	не в	4	4
65	в этой	2	4
66	совершенно не	2	4
67	в самом	7	4
68	из них	3	4
69	сих пор	5	4
70	до сих	6	4
71	в их	3	4
72	в отличие	2	4
73	во время	2	4
74	что в	19	3
75	не является	3	3
76	у шекспира	4	3
77	в тех	2	3
78	что он	13	3
79	в ее	2	3
80	но все	7	3
81	но это	3	3
82	самом деле	3	3
83	даже в	2	3
84	с точки	2	3
85	то что	11	3
86	как раз	8	3
87	взглянуть на	2	3
88	не может	2	3
89	этом отношении	9	3
90	с другой	4	3
91	по его	3	3
92	конечно и	2	3
93	в себе	2	3
94	и вообще	2	3
95	связан с	3	3
96	и здесь	3	3
97	ничего не	4	3
98	и с	4	3
99	в виду	7	3
100	но не	3	2
101	во многом	2	2
102	к тому	10	2
103	ни с	2	2
104	конечно в	2	2
105	бы ни	2	2
106	так например	7	2
107	он был	2	2
108	а затем	2	2
109	в романе	4	2
110	это время	2	2
111	кроме того	4	2
112	до конца	3	2
113	в это	2	2
114	и он	3	2
115	несмотря на	2	2
116	например в	3	2
117	на его	2	2
118	значительной степени	2	2
119	между прочим	12	2
120	хотя и	4	2
121	он не	9	2
122	для своего	2	2
123	подчеркнуть что	3	2
124	нет и	2	2
125	не к	2	2
126	и именно	3	2
127	в некоторых	2	2
128	в процессе	2	2
129	xviii века	2	2
130	истории и	2	2
131	особенно в	2	2
132	того что	5	2
133	на этот	2	2
134	и по	3	2
135	одним из	6	2
136	отметить что	2	2
137	этот вопрос	2	2
138	в этих	3	2
139	но с	4	2
140	и самый	2	2
141	о том	17	2
142	и это	2	2
143	дело в	4	2
144	в особенности	2	2
145	в чисто	2	2
146	это очень	2	2
147	это было	2	2
