N	2gram	Bakhtin_sl_1	Freidism
1	таким образом	9	24
2	и не	16	23
3	не может	14	20
4	точки зрения	16	19
5	прежде всего	8	18
6	в этом	12	15
7	в его	13	15
8	может быть	14	13
9	и его	14	12
10	как и	4	11
11	как бы	12	11
12	все эти	9	11
13	с точки	8	11
14	и потому	4	10
15	так и	11	10
16	как мы	8	10
17	его в	3	10
18	с ним	7	10
19	но в	8	10
20	с его	4	9
21	и в	41	9
22	во всех	17	9
23	еще не	4	8
24	в своей	7	8
25	он не	3	8
26	не только	16	8
27	все это	5	8
28	то же	14	8
29	только в	6	8
30	и все	4	8
31	оно и	4	8
32	так как	3	8
33	к нему	5	7
34	во всяком	7	7
35	один из	4	7
36	отношение к	7	7
37	в самом	5	7
38	те же	2	7
39	и наконец	4	7
40	сказать что	2	7
41	мы уже	2	7
42	всяком случае	5	7
43	никогда не	3	6
44	точку зрения	3	6
45	вовсе не	7	6
46	и ее	3	6
47	для него	3	6
48	за пределы	4	6
49	того что	3	6
50	в ней	4	6
51	так сказать	5	6
52	совершенно не	2	6
53	хотя бы	3	6
54	и с	4	6
55	на протяжении	2	6
56	и к	5	5
57	связь с	2	5
58	в свою	3	5
59	можно сказать	2	5
60	не в	7	5
61	в то	14	5
62	в большинстве	10	5
63	но и	16	5
64	на самом	2	5
65	для того	2	5
66	а в	6	5
67	и на	14	5
68	могут быть	19	5
69	с этим	3	5
70	большинстве случаев	6	5
71	но не	2	4
72	в котором	2	4
73	связанных с	4	4
74	и др	14	4
75	в этих	2	4
76	из этих	3	4
77	в пределах	14	4
78	если мы	2	4
79	с другими	5	4
80	к тому	3	4
81	всех этих	4	4
82	же время	12	4
83	на которые	2	4
84	на этом	2	4
85	смысле слова	2	4
86	связанные с	3	4
87	при этом	6	4
88	конечно не	3	4
89	и о	2	4
90	как раз	2	4
91	в основе	5	4
92	в зависимости	3	4
93	в нем	30	4
94	все же	7	4
95	данном случае	3	4
96	не было	3	4
97	между ними	2	4
98	уже не	2	4
99	и для	4	4
100	в которой	4	4
101	той же	2	4
102	мы не	2	4
103	с ними	3	4
104	в данном	3	4
105	потому что	2	4
106	зависимости от	3	4
107	не могут	3	3
108	нисколько не	2	3
109	тому что	2	3
110	в них	6	3
111	и от	4	3
112	что все	2	3
113	в себе	3	3
114	войти в	2	3
115	по своему	2	3
116	в узком	10	3
117	она не	3	3
118	и может	3	3
119	было бы	3	3
120	ни о	2	3
121	и той	2	3
122	узком смысле	10	3
123	с ее	4	3
124	себя в	9	3
125	и те	2	3
126	как в	8	3
127	всех своих	2	3
128	свою очередь	2	3
129	и по	2	3
130	у него	3	3
131	слова и	13	3
132	зрения на	7	3
133	и этим	3	3
134	одна из	2	3
135	подхода к	5	3
136	не является	2	3
137	в сознании	2	3
138	не исчерпывается	2	2
139	в самых	2	2
140	в отношении	6	2
141	быть и	4	2
142	его и	3	2
143	между собой	2	2
144	того же	6	2
145	с другой	5	2
146	с которыми	2	2
147	это не	6	2
148	оно не	6	2
149	формы и	3	2
150	к этому	2	2
151	для понимания	2	2
152	или вовсе	2	2
153	не пытается	2	2
154	для нас	2	2
155	в ее	2	2
156	до конца	12	2
157	ни было	2	2
158	в основном	3	2
159	том что	2	2
160	более того	3	2
161	чем он	2	2
162	сил в	2	2
163	а не	15	2
164	с этими	2	2
165	одной стороны	4	2
166	и часто	4	2
167	из них	3	2
168	на один	2	2
169	на всю	3	2
170	в процессе	4	2
171	о нем	4	2
172	в него	3	2
173	в своем	3	2
174	со всею	2	2
175	на почве	4	2
176	точка зрения	8	2
177	или во	2	2
178	выражение в	3	2
179	дело не	2	2
180	сих пор	2	2
181	все они	7	2
182	в их	4	2
183	только на	2	2
184	а с	2	2
185	с одной	4	2
186	внутренней речи	3	2
187	социальной группы	2	2
188	и связанных	2	2
189	свое выражение	2	2
190	и у	2	2
191	и даже	6	2
192	так же	2	2
193	рядом с	4	2
194	роль в	2	2
195	мы видим	2	2
196	и то	2	2
197	здесь в	4	2
198	от этого	2	2
199	в другом	2	2
200	и вообще	2	2
201	жизни но	2	2
202	в первом	3	2
203	до сих	2	2
204	и самое	2	2
205	оно может	2	2
206	в эту	2	2
207	здесь оно	2	2
