N	2gram	Nazirov_Tv_2	Stilisti
1	и в	20	42
2	как бы	11	27
3	не только	13	27
4	прежде всего	8	22
5	но и	8	15
6	то же	7	15
7	и не	9	14
8	может быть	8	12
9	не может	7	12
10	как и	6	11
11	отнюдь не	4	10
12	в этом	8	10
13	при этом	8	9
14	в то	10	9
15	то что	3	9
16	мы не	4	9
17	все же	5	8
18	таким образом	10	8
19	тем самым	4	8
20	в себе	3	8
21	и это	3	8
22	никогда не	11	7
23	и от	4	7
24	же время	7	7
25	и на	5	7
26	потому что	7	7
27	так как	3	7
28	а не	6	7
29	и его	9	7
30	только в	2	7
31	в которой	2	7
32	ничего не	4	7
33	точку зрения	2	6
34	не в	4	6
35	в этой	5	6
36	на его	4	6
37	но ведь	2	6
38	в конце	6	6
39	в нем	3	6
40	в процессе	2	6
41	так и	6	6
42	уже в	2	5
43	не является	3	5
44	а в	4	5
45	и с	8	5
46	и наконец	2	5
47	в его	10	5
48	вместе с	3	5
49	все время	2	4
50	и без	2	4
51	в самом	3	4
52	точка зрения	2	4
53	один из	3	4
54	все это	6	4
55	так же	5	4
56	о том	5	4
57	его в	3	4
58	но в	4	4
59	если бы	4	4
60	у нас	2	4
61	мы видим	4	4
62	себя в	2	4
63	на него	2	4
64	а с	3	4
65	уже не	3	4
66	самом деле	2	4
67	то есть	5	4
68	так сказать	2	4
69	его и	2	3
70	что у	4	3
71	это не	7	3
72	хотя и	4	3
73	в котором	3	3
74	в целом	6	3
75	из них	2	3
76	и даже	5	3
77	не так	2	3
78	их в	2	3
79	в начале	3	3
80	в одном	2	3
81	если он	5	3
82	об этом	4	3
83	в ее	2	3
84	том что	4	3
85	еще не	5	3
86	нет и	2	3
87	если не	4	3
88	роль в	2	3
89	и поэтому	2	3
90	с генералом	2	3
91	место в	3	2
92	быть может	3	2
93	зависит от	2	2
94	в душе	4	2
95	в частности	2	2
96	или даже	2	2
97	человека и	3	2
98	человека в	3	2
99	в мире	5	2
100	в том	8	2
101	тому же	2	2
102	но это	5	2
103	для него	3	2
104	и сам	5	2
105	в первой	2	2
106	не было	2	2
107	все эти	4	2
108	но эта	2	2
109	в которых	3	2
110	в своих	3	2
111	нет ничего	3	2
112	к которому	2	2
113	в основе	2	2
114	ни к	2	2
115	к этому	3	2
116	что он	6	2
117	к миру	2	2
118	но не	5	2
119	одной из	3	2
120	и потому	4	2
121	в своей	6	2
122	сих пор	3	2
123	связь с	2	2
124	как в	4	2
125	бы не	2	2
126	ли не	2	2
127	на наш	2	2
128	и он	2	2
129	в дальнейшем	4	2
130	с ним	3	2
131	этот вопрос	3	2
132	тем что	3	2
133	и вообще	2	2
