N	2gram	Savitsky_P_1	formyVre
1	и в	14	46
2	в этом	10	22
3	прежде всего	3	14
4	и т	3	14
5	только в	7	11
6	не только	17	11
7	во всех	2	11
8	в том	9	10
9	как бы	4	10
10	точки зрения	3	10
11	но в	9	10
12	не в	5	9
13	но и	6	9
14	и не	12	9
15	в его	2	8
16	то же	9	8
17	для того	3	8
18	с точки	3	8
19	потому что	3	8
20	из них	2	8
21	в них	2	7
22	может быть	5	7
23	то что	4	7
24	все это	2	6
25	и с	2	6
26	в частности	2	5
27	в своем	4	5
28	с этим	2	5
29	в пределах	8	5
30	в то	7	5
31	но не	3	5
32	в нем	3	5
33	что в	4	5
34	в смысле	6	5
35	должно быть	2	5
36	отнюдь не	2	4
37	же время	7	4
38	же в	4	4
39	том что	4	4
40	в ряду	2	4
41	в котором	4	4
42	в мире	2	4
43	отношения к	2	4
44	еще более	2	4
45	а не	2	4
46	в себе	3	4
47	том числе	2	3
48	не было	2	3
49	и как	3	3
50	тем более	2	3
51	в качестве	9	3
52	тот же	3	3
53	хотя и	3	3
54	а также	4	3
55	она ни	2	3
56	того что	2	3
57	а в	4	3
58	в которых	5	3
59	и есть	2	2
60	друг другу	2	2
61	говорить о	2	2
62	с другой	5	2
63	и других	2	2
64	это не	3	2
65	по себе	4	2
66	в отношении	10	2
67	именно в	2	2
68	с тем	3	2
69	и пр	5	2
70	было бы	6	2
71	и к	4	2
72	наряду с	3	2
73	и о	5	2
74	и потому	4	2
75	если в	2	2
76	не может	4	2
77	с одной	3	2
78	и вот	2	2
79	как на	2	2
80	сами по	3	2
81	могут быть	3	2
82	и это	2	2
