N	2gram	Medvedev_S_1	Problemy
1	и в	3	43
2	может быть	2	23
3	как бы	2	22
4	но и	2	14
5	в этом	5	13
6	не в	3	11
7	не только	3	11
8	в его	3	10
9	еще не	2	9
10	то же	2	8
11	то что	2	7
12	в том	5	6
13	все это	7	5
14	по отношению	2	5
15	таким образом	2	5
16	но ведь	3	5
17	было бы	2	5
18	и что	2	5
19	отношению к	2	5
20	что в	2	4
21	в результате	2	4
22	только в	2	4
23	далеко не	2	4
24	должна быть	2	3
25	и только	3	3
26	по существу	2	3
27	за пределы	2	3
28	в конце	2	2
29	как же	3	2
30	для нас	3	2
31	ведь это	2	2
32	конце концов	2	2
33	том что	2	2
