N	2gram	Tiupa_Lite_2	KulturaY
1	и т	2	39
2	потому что	2	25
3	т п	2	24
4	и в	19	23
5	не только	8	20
6	в том	10	19
7	в этом	9	18
8	и не	11	16
9	было бы	2	15
10	так как	3	15
11	может быть	17	15
12	точки зрения	4	14
13	у нас	5	12
14	том что	7	11
15	в области	4	11
16	но в	2	11
17	в русском	2	10
18	что в	4	10
19	а не	20	10
20	вовсе не	2	9
21	в сущности	3	9
22	то что	7	9
23	для того	2	9
24	хотя бы	2	9
25	не может	9	9
26	с другой	8	8
27	прежде всего	4	8
28	не в	4	8
29	в качестве	5	8
30	уже не	2	8
31	и что	2	8
32	с точки	3	8
33	не менее	6	7
34	в нашем	2	7
35	все же	2	7
36	но и	10	7
37	другой стороны	4	7
38	и с	3	7
39	по крайней	2	6
40	крайней мере	2	6
41	в этой	3	6
42	но не	5	6
43	что не	2	6
44	тем не	2	6
45	то же	12	6
46	и на	6	6
47	ту же	2	6
48	я не	5	5
49	что он	3	5
50	по существу	3	5
51	тот же	2	5
52	еще не	2	5
53	в его	4	5
54	один из	4	5
55	слова и	7	5
56	речь в	2	5
57	вместе с	5	5
58	как это	2	5
59	и то	3	5
60	отнюдь не	4	4
61	в них	2	4
62	но только	2	4
63	для нас	2	4
64	что я	2	4
65	своего рода	13	4
66	как бы	2	4
67	в нем	3	4
68	со стороны	3	4
69	не было	2	4
70	в данном	3	4
71	в результате	2	4
72	могут быть	2	4
73	в то	9	4
74	в конце	2	4
75	в разговоре	3	4
76	ничего не	3	4
77	так и	7	4
78	на этом	2	3
79	уже в	2	3
80	не надо	2	3
81	у него	2	3
82	для этого	2	3
83	на фоне	5	3
84	же время	9	3
85	а также	2	3
86	же в	2	3
87	но это	3	3
88	того же	4	3
89	до конца	2	3
90	в первый	2	3
91	в ней	4	3
92	он не	5	3
93	в сфере	4	3
94	что и	2	3
95	уже о	2	3
96	как раз	2	3
97	так в	5	3
98	то и	3	3
99	этом отношении	3	3
100	не знает	2	3
101	того что	5	3
102	из которых	2	3
103	от слова	3	3
104	а в	3	3
105	и его	3	3
106	тем что	4	3
107	всего лишь	3	3
108	к этой	2	3
109	в виду	2	3
110	же как	2	2
111	с тем	2	2
112	себе не	2	2
113	в частности	4	2
114	никогда не	3	2
115	состоит в	9	2
116	с этой	2	2
117	быть не	2	2
118	и до	2	2
119	говоря уже	2	2
120	конечном счете	5	2
121	этом случае	2	2
122	ли не	4	2
123	в другом	3	2
124	с одной	7	2
125	очевидно что	2	2
126	не более	2	2
127	мы с	3	2
128	при этом	6	2
129	по преимуществу	2	2
130	в конечном	5	2
131	в свое	2	2
132	и даже	8	2
133	речь идет	3	2
134	был бы	2	2
135	но уже	2	2
136	не говоря	2	2
137	данном случае	3	2
138	а именно	3	2
139	в их	3	2
140	и для	3	2
141	все равно	2	2
142	как и	10	2
143	в году	5	2
144	тем самым	3	2
145	свое время	2	2
146	тем же	3	2
147	той же	2	2
148	в глазах	3	2
149	даже и	2	2
150	он и	2	2
151	в своих	2	2
152	соответствии с	2	2
153	и еще	2	2
154	а если	2	2
