N	2gram	Kanaev_Sov_1	formyVre
1	и в	7	50
2	в этом	7	25
3	в нем	3	24
4	прежде всего	5	15
5	и не	6	14
6	как мы	2	14
7	в его	2	13
8	может быть	12	11
9	таким образом	11	11
10	то же	3	11
11	времени и	2	10
12	но в	3	10
13	в конце	3	9
14	в том	4	9
15	все эти	5	9
16	не только	4	9
17	роль в	2	9
18	ничего не	6	9
19	в самом	2	8
20	как и	6	8
21	жизни и	4	8
22	и во	2	7
23	в условиях	5	7
24	так сказать	2	7
25	все же	3	6
26	это не	4	6
27	в дальнейшем	4	6
28	не может	17	6
29	в результате	6	6
30	так как	4	6
31	у него	2	6
32	с этим	2	6
33	и все	3	6
34	что в	2	5
35	не в	3	5
36	значение в	2	5
37	точки зрения	12	5
38	но все	2	5
39	отнюдь не	3	5
40	еще не	3	5
41	могут быть	2	5
42	на этой	3	4
43	все это	3	4
44	между собой	3	4
45	и пространства	2	4
46	не могут	2	3
47	при этом	3	3
48	со всеми	2	3
49	с одной	2	3
50	а в	4	3
51	их в	4	3
52	в одном	3	3
53	и потому	3	3
54	вместе с	4	3
55	еще более	2	3
56	а не	3	3
57	мы не	9	3
58	мы видим	2	3
59	в таком	2	3
60	во всяком	2	3
61	в себе	3	3
62	уже в	3	2
63	самого начала	3	2
64	в нашем	2	2
65	точку зрения	4	2
66	что все	2	2
67	вопрос о	4	2
68	или иной	2	2
69	для нас	3	2
70	с самого	3	2
71	в свою	2	2
72	в целом	4	2
73	в некоторых	2	2
74	с помощью	4	2
75	и даже	2	2
76	и по	2	2
77	этим мы	3	2
78	мы должны	4	2
79	как он	3	2
80	он должен	2	2
81	ясно что	3	2
82	и к	3	2
83	одна из	3	2
84	было бы	3	2
85	нет и	4	2
86	как бы	4	2
87	быть и	2	2
88	но очень	2	2
89	совершенно не	2	2
90	в отличие	2	2
91	если мы	4	2
92	уже не	2	2
93	с точки	5	2
94	в которой	2	2
95	той же	2	2
96	необходимо отметить	2	2
97	можно назвать	2	2
98	отличие от	2	2
99	с необходимостью	3	2
