N	2gram	Tiupa_Anal_2	slovoVRo
1	и в	16	39
2	может быть	6	37
3	и его	4	33
4	то есть	9	26
5	не только	16	24
6	и не	12	22
7	но и	12	21
8	не может	4	20
9	все это	4	16
10	в этом	18	16
11	так и	15	15
12	а не	10	14
13	как в	4	13
14	отличие от	2	13
15	в пределах	9	13
16	во всех	4	12
17	в отличие	2	12
18	вовсе не	2	10
19	к своему	2	9
20	не в	4	9
21	со своим	3	9
22	языка и	2	9
23	прежде всего	3	8
24	себя в	2	8
25	таким образом	2	8
26	точки зрения	4	8
27	при этом	10	7
28	для него	4	7
29	еще не	2	7
30	в его	2	7
31	как бы	10	7
32	никогда не	3	7
33	в этих	2	7
34	и даже	9	7
35	как мы	3	7
36	могут быть	10	7
37	с ним	2	7
38	и к	5	6
39	этом случае	4	6
40	как и	14	6
41	в своем	4	6
42	но не	4	6
43	она не	2	6
44	в сущности	4	6
45	значительной степени	2	6
46	в значительной	2	6
47	но в	6	6
48	с другой	6	5
49	и для	2	5
50	и все	3	5
51	по себе	2	5
52	том что	12	5
53	или иной	3	5
54	одной стороны	4	5
55	только в	4	5
56	в том	12	5
57	и их	2	5
58	той или	3	5
59	один из	2	5
60	с одной	5	5
61	уже не	4	5
62	с ними	3	5
63	романа в	3	5
64	не менее	4	4
65	борьба с	3	4
66	на фоне	3	4
67	отношению к	4	4
68	же время	2	4
69	по отношению	4	4
70	отношения к	2	4
71	то же	4	4
72	для всех	2	4
73	в таком	2	4
74	а в	3	4
75	и на	6	4
76	в то	2	4
77	его в	2	4
78	борьбы с	3	3
79	что в	2	3
80	не столько	3	3
81	здесь в	2	3
82	не с	4	3
83	что и	3	3
84	его от	3	3
85	на этом	4	3
86	у него	4	3
87	с их	2	3
88	в контексте	5	3
89	этом отношении	3	3
90	лишь в	9	3
91	а также	7	3
92	с точки	2	3
93	той же	2	3
94	или даже	2	3
95	сказать что	2	3
96	между тем	2	3
97	речи и	2	3
98	говорить о	6	3
99	как это	6	3
100	в данном	8	2
101	не был	3	2
102	хотя и	4	2
103	в нашем	3	2
104	на котором	2	2
105	как уже	3	2
106	в себе	7	2
107	с ее	2	2
108	на протяжении	2	2
109	и слово	2	2
110	все что	2	2
111	как о	3	2
112	этих случаях	2	2
113	в поэзии	2	2
114	за пределы	4	2
115	диалог в	2	2
116	даже в	2	2
117	и особенно	4	2
118	на его	3	2
119	то что	7	2
120	его как	2	2
121	вместе с	2	2
122	те же	2	2
123	на него	2	2
124	в их	3	2
125	и внутренне	2	2
126	особенно в	7	2
127	именно в	3	2
128	еще более	2	2
129	в себя	4	2
130	но эта	2	2
131	и т.п	8	2
132	роль в	2	2
133	или в	3	2
134	в результате	3	2
135	автора и	3	2
136	он не	2	2
137	к его	2	2
138	ведь и	2	2
139	не знает	3	2
140	о том	7	2
141	в одном	2	2
