N	3gram	Tiupa_Narr_2	Analitik
1	не может быть	2	16
2	в том что	8	9
3	в то же	3	8
4	в отличие от	5	6
5	то же время	3	6
6	той или иной	3	6
7	по отношению к	5	5
8	и не может	2	4
9	мы имеем дело	2	4
10	к тому же	4	4
11	в конечном счете	3	4
12	с точки зрения	2	4
13	и представляет собой	3	3
14	состоит в том	4	3
15	подобно тому как	2	3
16	имеем дело с	2	3
17	с одной стороны	5	3
18	о том что	4	3
19	того или иного	3	3
20	и т п	2	3
21	мере в какой	2	2
22	в данном случае	6	2
23	в этом отношении	3	2
24	в той мере	2	2
25	при встрече с	3	2
26	не сводится к	6	2
27	той мере в	2	2
28	в равной степени	2	2
29	и все же	2	2
30	но и в	2	2
