N	3gram	Vygotskiy__5	StatiiOP
1	в том что	11	16
2	о том что	4	11
3	в этом отношении	5	9
4	том что он	2	5
5	до сих пор	3	5
6	вместе с тем	2	5
7	для того чтобы	14	5
8	то обстоятельство что	2	4
9	что он не	2	4
10	с самого начала	5	3
11	с другой стороны	2	3
12	так же как	7	3
13	до того как	2	3
14	вопрос о том	3	3
15	в отличие от	2	2
16	то что он	2	2
17	в другом месте	4	2
18	в самом деле	2	2
19	но все же	2	2
20	том что в	2	2
21	в той мере	3	2
22	с точки зрения	9	2
23	той мере в	3	2
24	не только не	3	2
25	мере в какой	3	2
26	не до конца	2	2
