N	2gram	Tiupa_Anal_2	Myshleni
1	внутренней речи	4	67
2	речи и	2	30
3	в этом	18	29
4	точки зрения	4	28
5	речи в	2	27
6	и в	16	26
7	не только	16	24
8	то что	7	24
9	таким образом	2	23
10	с точки	2	21
11	представляет собой	8	19
12	в том	12	18
13	и не	12	18
14	том что	12	17
15	как и	14	15
16	этом случае	4	14
17	того что	2	14
18	так же	2	14
19	как мы	3	14
20	в ходе	4	12
21	что в	2	12
22	вместе с	2	12
23	и его	4	12
24	но и	12	11
25	только не	4	11
26	не может	4	11
27	в самом	6	9
28	в сущности	4	9
29	тем что	3	9
30	в себе	7	9
31	то же	4	8
32	что она	2	8
33	сказать что	2	8
34	тем самым	4	8
35	той же	2	8
36	только в	4	8
37	к тому	7	7
38	прежде всего	3	7
39	может быть	6	7
40	и к	5	7
41	в ситуации	3	7
42	и то	3	7
43	нас к	2	6
44	и тем	4	6
45	по отношению	4	6
46	именно в	3	6
47	как бы	10	6
48	все что	2	6
49	было бы	3	6
50	во всех	4	6
51	а не	10	6
52	в сознании	4	6
53	можно сказать	4	5
54	что с	2	5
55	одной стороны	4	5
56	если бы	3	5
57	в целом	8	5
58	во второй	4	5
59	и их	2	5
60	данном случае	5	5
61	с одной	5	5
62	никак не	2	5
63	одно из	2	5
64	бы в	3	5
65	как это	6	5
66	в качестве	11	5
67	она не	2	5
68	отношению к	4	5
69	как говорит	2	5
70	в речи	3	5
71	и для	2	5
72	в данном	8	5
73	не менее	4	4
74	никогда не	3	4
75	в нашем	3	4
76	с другой	6	4
77	в конце	4	4
78	на то	2	4
79	так что	3	4
80	имеет место	4	4
81	в котором	2	4
82	и во	2	4
83	в его	2	4
84	о том	7	4
85	но в	6	4
86	о чем	2	4
87	еще не	2	4
88	одной из	3	4
89	не есть	2	4
90	как в	4	4
91	приводит к	3	4
92	не в	4	4
93	едва ли	3	4
94	содержит в	3	3
95	все это	4	3
96	тем не	3	3
97	есть в	3	3
98	для него	4	3
99	совпадает с	4	3
100	и является	4	3
101	в первой	3	3
102	на котором	2	3
103	этом отношении	3	3
104	самом начале	3	3
105	он не	2	3
106	с ним	2	3
107	состоит в	8	3
108	при переходе	2	3
109	по себе	2	3
110	о его	4	3
111	в то	2	3
112	но не	4	3
113	для нее	2	3
114	этого слова	3	3
115	что и	3	3
116	в своей	2	3
117	так и	15	3
118	только на	3	3
119	как раз	4	3
120	и слово	2	3
121	случае в	3	3
122	между двумя	4	3
123	в этой	9	3
124	казалось бы	3	2
125	в этих	2	2
126	столь же	4	2
127	одного из	3	2
128	что все	2	2
129	что на	3	2
130	его от	3	2
131	ли не	2	2
132	в действительности	3	2
133	на его	3	2
134	несмотря на	3	2
135	не мог	3	2
136	или в	3	2
137	в конечном	3	2
138	один из	2	2
139	с ее	2	2
140	всего в	2	2
141	в их	3	2
142	того и	2	2
143	отношения к	2	2
144	лишь в	9	2
145	по природе	2	2
146	не имеет	2	2
147	а в	3	2
148	переходит от	2	2
149	к его	2	2
150	его в	2	2
151	конечном счете	2	2
152	к этому	2	2
153	в случае	2	2
154	вовсе не	2	2
155	в одну	2	2
156	но эта	2	2
157	а затем	2	2
158	ведь это	2	2
159	даже в	2	2
160	и до	2	2
161	не удивительно	3	2
162	внимание на	2	2
163	в отличие	2	2
164	и он	2	2
165	можно было	3	2
166	могут быть	10	2
167	ответ на	3	2
168	отличие от	2	2
169	ничего не	9	2
