N	2gram	Nazirov_Tv_1	FransuaR
1	и в	21	29
2	то есть	12	21
3	таким образом	5	20
4	и не	7	16
5	и все	6	13
6	в этой	5	13
7	как и	12	12
8	но в	7	12
9	так и	2	11
10	и на	7	11
11	в этом	6	11
12	то же	13	10
13	в романе	10	10
14	в то	15	10
15	не только	7	10
16	вовсе не	5	9
17	но и	3	9
18	и с	3	9
19	же время	12	8
20	прежде всего	4	8
21	в образах	2	8
22	в его	13	8
23	и его	6	8
24	как бы	17	8
25	так же	3	7
26	в том	7	7
27	так как	3	7
28	из них	2	6
29	своего рода	4	6
30	но он	2	6
31	у него	7	5
32	это не	4	5
33	в кн	2	5
34	это и	3	5
35	того же	2	5
36	до конца	2	5
37	далеко не	3	5
38	в нем	3	5
39	в своей	4	5
40	и по	3	5
41	сказать что	2	5
42	перед нами	2	4
43	с его	11	4
44	в литературе	2	4
45	что он	6	4
46	но это	5	4
47	один из	4	4
48	то что	8	4
49	жизни и	3	4
50	все это	10	4
51	на самом	3	4
52	с другой	3	4
53	связан с	3	4
54	в которой	3	4
55	в частности	2	3
56	в качестве	2	3
57	в своем	4	3
58	с ее	3	3
59	самого начала	3	3
60	а затем	2	3
61	все же	5	3
62	с самого	3	3
63	том что	11	3
64	и как	4	3
65	в дальнейшем	3	3
66	то в	2	3
67	такой же	2	3
68	тот же	2	3
69	того что	3	3
70	той же	3	3
71	по преимуществу	2	3
72	некоторые из	2	3
73	он не	8	3
74	как к	2	3
75	одновременно и	2	3
76	при этом	7	3
77	и других	3	3
78	в году	7	3
79	там же	3	3
80	и даже	3	3
81	не случайно	4	3
82	в ней	2	3
83	же и	2	3
84	в себе	2	3
85	на эту	4	3
86	в чем	2	3
87	место в	3	2
88	уже в	3	2
89	времени и	4	2
90	и другие	3	2
91	к этому	2	2
92	в этих	2	2
93	жизни в	6	2
94	быть может	2	2
95	в жизни	2	2
96	это в	3	2
97	а как	2	2
98	к тому	2	2
99	одной из	4	2
100	но только	2	2
101	соответствии с	3	2
102	что я	3	2
103	именно в	2	2
104	но не	3	2
105	в себя	2	2
106	на площади	2	2
107	было в	2	2
108	не может	4	2
109	на его	3	2
110	может быть	5	2
111	хотя и	3	2
112	площади и	2	2
113	никогда не	3	2
114	этом он	2	2
115	уже не	3	2
116	в виду	2	2
117	в котором	6	2
118	если в	2	2
119	но она	2	2
120	как в	8	2
121	в ту	3	2
122	в их	3	2
123	ту эпоху	2	2
124	во второй	2	2
125	вокруг себя	2	2
126	и у	2	2
127	и наконец	2	2
128	на свете	2	2
129	не столько	2	2
130	представлений о	2	2
131	или в	2	2
132	не мог	2	2
133	где он	2	2
134	в своих	5	2
135	в основе	2	2
136	в одной	2	2
137	как будто	5	2
138	только в	5	2
139	в один	2	2
140	о том	6	2
141	дело в	3	2
142	так сказать	2	2
143	с ним	3	2
