N	2gram	Losev_Dial_1	Analitik
1	не только	13	22
2	и в	18	18
3	как и	2	14
4	так и	9	14
5	в этом	12	14
6	но и	7	13
7	в частности	2	12
8	том что	9	12
9	в качестве	2	12
10	и не	30	12
11	а в	5	10
12	как бы	11	10
13	может быть	17	9
14	со стороны	2	9
15	что в	13	9
16	а не	14	9
17	в том	9	9
18	и даже	13	8
19	с другой	6	7
20	но не	4	7
21	в его	3	7
22	как раз	4	7
23	к тому	4	6
24	не в	6	6
25	для него	2	6
26	еще не	2	6
27	он не	3	6
28	в их	3	6
29	о том	4	6
30	никогда не	9	5
31	не является	3	5
32	в конце	4	5
33	прежде всего	10	5
34	или иной	3	5
35	в самом	3	5
36	что и	3	5
37	в мире	2	5
38	другой стороны	4	5
39	уже не	2	5
40	мы имеем	2	5
41	я в	2	5
42	не менее	2	4
43	о чем	2	4
44	отнюдь не	9	4
45	в своем	5	4
46	по крайней	4	4
47	по себе	25	4
48	что он	11	4
49	можно сказать	6	4
50	и как	7	4
51	не есть	40	4
52	крайней мере	4	4
53	все же	5	4
54	в данном	3	4
55	в каждом	2	3
56	были бы	2	3
57	из этих	2	3
58	у пушкина	4	3
59	к этому	2	3
60	тому же	2	3
61	что они	3	3
62	было бы	12	3
63	же время	4	3
64	указывает на	3	3
65	той или	7	3
66	если в	3	3
67	дело не	2	3
68	как в	2	3
69	все это	11	3
70	то же	10	3
71	не было	6	3
72	этом отношении	2	3
73	еще и	3	3
74	именно в	2	3
75	что не	7	3
76	его не	6	3
77	ничего не	17	3
78	с этим	2	3
79	точки зрения	17	3
80	что касается	2	3
81	он и	2	3
82	но как	2	3
83	говорить о	5	3
84	во всем	2	3
85	в то	6	3
86	жизнь и	3	3
87	в особенности	5	3
88	как это	4	3
89	сама по	8	2
90	в противоположность	5	2
91	е о	2	2
92	бы и	2	2
93	могут быть	3	2
94	все эти	2	2
95	в них	3	2
96	это не	9	2
97	но они	2	2
98	не как	2	2
99	и от	2	2
100	в нем	16	2
101	есть не	3	2
102	несмотря на	10	2
103	о которых	2	2
104	да и	6	2
105	говорит о	5	2
106	в дальнейшем	5	2
107	вплоть до	3	2
108	то в	7	2
109	одной стороны	2	2
110	это и	4	2
111	о своем	2	2
112	совершенно не	8	2
113	хотя и	4	2
114	в ней	3	2
115	об этом	4	2
116	о своих	2	2
117	и потому	3	2
118	всяком случае	2	2
119	даже в	3	2
120	гораздо более	3	2
121	один из	3	2
122	не с	5	2
123	то что	13	2
124	что она	7	2
125	не может	12	2
126	отношения к	3	2
127	с одной	2	2
128	но с	3	2
129	и вот	6	2
130	самом деле	3	2
131	с точки	12	2
132	и он	5	2
133	и для	2	2
134	сказать что	10	2
135	во всяком	4	2
136	мы можем	4	2
137	нуждается в	3	2
138	в себе	11	2
139	могла бы	2	2
140	только в	3	2
141	и все	3	2
142	но в	6	2
