N	2gram	Vygotskiy__3	Russkaja
1	не может	6	22
2	и не	10	19
3	в том	23	17
4	в этом	14	17
5	и в	25	14
6	с другом	5	14
7	друг с	5	14
8	то что	15	13
9	таким образом	17	11
10	то же	2	11
11	точки зрения	6	11
12	но и	4	10
13	в то	4	10
14	том что	20	9
15	не только	6	9
16	в себе	2	9
17	может быть	13	9
18	во всяком	4	9
19	прежде всего	4	8
20	того чтобы	8	8
21	как на	2	8
22	отнюдь не	4	7
23	к тому	4	7
24	не будет	2	7
25	мы должны	6	7
26	о том	5	7
27	если бы	5	6
28	что он	6	6
29	и к	5	6
30	с тем	16	6
31	для него	5	6
32	для того	7	6
33	всяком случае	4	6
34	если в	3	6
35	все это	6	6
36	в своем	4	6
37	и для	2	6
38	в своих	2	6
39	между собой	13	5
40	на то	4	5
41	и на	6	5
42	или иной	3	5
43	при этом	5	5
44	было бы	10	5
45	в своей	2	5
46	он не	4	5
47	никогда не	4	5
48	в нем	2	5
49	и только	2	5
50	из которых	5	5
51	а в	4	5
52	потому что	6	5
53	только в	10	5
54	между тем	3	5
55	но не	6	4
56	не могут	4	4
57	что в	17	4
58	тогда когда	4	4
59	в мире	2	4
60	как и	15	4
61	все что	2	4
62	как бы	10	4
63	все же	6	4
64	в корне	2	4
65	вместе с	14	4
66	от того	4	4
67	или менее	3	4
68	приводит к	4	4
69	в совершенно	2	4
70	путь к	3	4
71	не в	6	4
72	можно было	6	4
73	и то	2	4
74	в этой	5	4
75	во всем	3	4
76	в его	15	4
77	и т.д	5	4
78	его в	3	4
79	так как	12	4
80	что это	5	3
81	можно ли	2	3
82	на том	3	3
83	именно в	5	3
84	из этих	4	3
85	с нею	2	3
86	главным образом	2	3
87	таким же	2	3
88	всех этих	2	3
89	и как	5	3
90	то в	3	3
91	что они	10	3
92	должно быть	2	3
93	в качестве	12	3
94	еще не	4	3
95	в самом	3	3
96	мы говорили	4	3
97	той или	2	3
98	и потому	2	3
99	для этого	2	3
100	что и	10	3
101	не есть	3	3
102	из них	4	3
103	все они	2	3
104	что оно	4	3
105	того что	10	3
106	и по	5	3
107	друг друга	4	3
108	или в	2	3
109	приходит к	6	3
110	тем что	8	3
111	и во	2	3
112	в виде	3	3
113	связи с	9	3
114	о котором	2	3
115	одна из	2	3
116	место в	2	2
117	а с	3	2
118	пути к	3	2
119	в частности	4	2
120	по этому	3	2
121	были бы	3	2
122	и от	2	2
123	с этим	4	2
124	к той	2	2
125	этот вопрос	3	2
126	тот факт	5	2
127	состоит в	3	2
128	ясно что	2	2
129	или иного	2	2
130	по себе	7	2
131	и вместе	2	2
132	ни в	9	2
133	уже не	2	2
134	так что	2	2
135	но это	5	2
136	является не	2	2
137	есть и	2	2
138	не можем	3	2
139	указывает на	2	2
140	отличается от	3	2
141	что с	4	2
142	в котором	3	2
143	на этой	5	2
144	этом и	2	2
145	благодаря этому	6	2
146	для нас	2	2
147	к данному	2	2
148	на основании	11	2
149	тому что	2	2
150	по отношению	3	2
151	лежит не	2	2
152	в течение	2	2
153	все эти	7	2
154	и что	10	2
155	тем самым	2	2
156	факт что	5	2
157	которых каждый	2	2
158	так же	17	2
159	в таком	2	2
160	в результате	3	2
161	их в	3	2
162	в силу	6	2
163	мы можем	7	2
164	не тем	2	2
165	на себя	2	2
166	мы уже	5	2
167	в начале	2	2
168	последнее время	3	2
169	того или	2	2
170	чтобы их	2	2
171	в этих	2	2
172	с ним	4	2
173	в области	7	2
