N	2gram	Savitsky_E_1	Dialekti
1	не есть	2	40
2	и не	14	30
3	по себе	4	25
4	т е	9	25
5	и в	37	18
6	может быть	6	17
7	точки зрения	23	17
8	не имеет	4	15
9	а не	2	14
10	потому что	3	14
11	что в	21	13
12	то что	6	13
13	не только	18	13
14	и даже	6	13
15	если бы	2	12
16	было бы	8	12
17	и что	2	12
18	с точки	17	12
19	в этом	12	12
20	не может	9	12
21	что это	2	11
22	как бы	6	11
23	это значит	2	11
24	в себе	9	11
25	так как	7	11
26	прежде всего	9	10
27	несмотря на	4	10
28	то же	15	10
29	сказать что	4	10
30	никогда не	3	9
31	отнюдь не	9	9
32	в том	11	9
33	так и	10	9
34	том что	6	9
35	и то	2	9
36	к нему	2	8
37	в каком	4	8
38	вовсе не	6	7
39	и как	2	7
40	то в	4	7
41	но и	14	7
42	также и	7	7
43	той или	4	7
44	с другой	7	6
45	можно сказать	4	6
46	хотя бы	15	6
47	она не	2	6
48	не в	5	6
49	в то	16	6
50	ни на	3	6
51	но в	14	6
52	он сам	2	5
53	в этих	2	5
54	в своем	14	5
55	на то	6	5
56	как же	2	5
57	говорит о	3	5
58	и мы	3	5
59	но если	5	5
60	себе не	3	5
61	в отношении	32	5
62	а в	2	5
63	само по	4	5
64	можно было	3	5
65	и с	2	5
66	мы должны	2	5
67	и более	2	4
68	к тому	8	4
69	во всяком	3	4
70	мы видим	2	4
71	но не	5	4
72	же время	14	4
73	хотя и	2	4
74	в котором	2	4
75	так же	9	4
76	другой стороны	2	4
77	и притом	4	4
78	как мы	5	4
79	мы можем	3	4
80	к ней	4	4
81	о том	3	4
82	как это	4	4
83	в них	3	3
84	думать что	8	3
85	этом смысле	3	3
86	должна быть	2	3
87	стороны и	6	3
88	есть не	2	3
89	не является	3	3
90	или иной	4	3
91	что и	3	3
92	при условии	2	3
93	уже и	3	3
94	ли это	3	3
95	отношении к	15	3
96	он не	2	3
97	в его	2	3
98	и потому	5	3
99	если в	2	3
100	даже в	4	3
101	жизни и	2	3
102	что же	2	3
103	в их	11	3
104	в самом	4	3
105	еще более	2	3
106	но с	2	3
107	и тут	2	3
108	в данном	3	3
109	и та	2	3
110	в ней	4	3
111	могут быть	2	3
112	и еще	2	3
113	только в	9	3
114	утверждать что	2	3
115	и все	2	3
116	бы в	2	3
117	от этого	5	3
118	того что	7	2
119	же как	5	2
120	бы и	3	2
121	именно в	4	2
122	или хотя	2	2
123	в виде	5	2
124	в частности	5	2
125	в качестве	14	2
126	сравнению с	2	2
127	как в	3	2
128	с этой	6	2
129	эти последние	2	2
130	и от	3	2
131	точка зрения	2	2
132	с другими	2	2
133	вопрос о	4	2
134	этой точки	5	2
135	и сейчас	2	2
136	одна и	2	2
137	в мире	2	2
138	ни было	4	2
139	как и	7	2
140	такой же	2	2
141	бороться с	2	2
142	что если	2	2
143	не нужно	2	2
144	одной стороны	8	2
145	для того	6	2
146	стороны в	2	2
147	вслед за	6	2
148	по сравнению	2	2
149	к ним	3	2
150	помнить что	2	2
151	всяком случае	3	2
152	мог бы	2	2
153	тем более	4	2
154	как не	2	2
155	из них	3	2
156	в своей	8	2
157	которое в	2	2
158	со стороны	5	2
159	и эта	2	2
160	с этим	2	2
161	этом отношении	3	2
162	с одной	8	2
163	из того	2	2
164	можем сказать	2	2
165	и для	3	2
166	ко всему	2	2
167	в которых	3	2
168	но как	2	2
169	или по	2	2
170	в полной	4	2
171	то не	2	2
172	заметить что	2	2
