N	2gram	Berdyaev_O_1	FransuaR
1	и в	19	45
2	и не	13	15
3	не только	11	14
4	в этом	12	14
5	но в	2	14
6	в его	7	13
7	и его	4	13
8	как бы	3	12
9	что в	4	12
10	в своем	2	11
11	прежде всего	9	10
12	в том	5	10
13	в нем	10	10
14	но и	13	10
15	как и	6	10
16	и с	2	10
17	в самой	9	8
18	с его	4	7
19	он был	8	7
20	том что	2	7
21	не в	11	7
22	что и	2	7
23	все это	6	7
24	потому что	9	7
25	и все	10	7
26	что он	3	6
27	в этой	5	6
28	он не	7	6
29	так и	2	6
30	мысли и	3	6
31	того чтобы	4	6
32	для того	3	6
33	так как	2	6
34	с ним	3	5
35	и к	2	5
36	хотя и	2	5
37	не может	4	5
38	все эти	4	5
39	и на	2	5
40	его в	2	5
41	и от	3	4
42	у него	22	4
43	ничего не	2	4
44	в самом	5	4
45	и о	2	4
46	а не	11	4
47	его не	2	4
48	а в	5	4
49	сказать что	2	4
50	о том	3	4
51	это было	3	4
52	свобода и	2	3
53	и ни	2	3
54	это не	3	3
55	для него	5	3
56	в своей	2	3
57	не было	9	3
58	и вот	3	3
59	того что	3	3
60	и он	8	3
61	не имеет	2	3
62	и для	2	3
63	но он	7	3
64	в другом	2	3
65	с которой	2	2
66	не могут	3	2
67	с тем	2	2
68	и там	2	2
69	и есть	3	2
70	жизни в	2	2
71	хотя бы	3	2
72	что все	2	2
73	к этому	2	2
74	своей жизни	2	2
75	то что	5	2
76	него не	2	2
77	ведь это	2	2
78	было бы	3	2
79	к ней	2	2
80	может быть	11	2
81	в уста	2	2
82	в этот	2	2
83	чем на	3	2
84	и мысли	4	2
85	все же	2	2
86	когда он	3	2
87	в истории	2	2
88	свободы и	2	2
89	лишь в	7	2
90	к нему	3	2
91	за все	2	2
92	он в	2	2
93	одно из	2	2
