N	2gram	Kanaev_Sov_1	Literetu
1	не только	4	24
2	при этом	3	19
3	а не	3	16
4	в том	4	16
5	может быть	12	13
6	и не	6	12
7	в этом	7	12
8	прежде всего	5	11
9	такого рода	2	10
10	не в	3	8
11	в целом	4	8
12	и в	7	8
13	не менее	2	7
14	в его	2	7
15	как бы	4	7
16	уже не	2	7
17	в себе	3	7
18	как и	6	6
19	точки зрения	12	6
20	не может	17	5
21	то же	3	5
22	в отличие	2	5
23	уже в	3	5
24	отличие от	2	5
25	это не	4	4
26	в конце	3	4
27	еще не	3	4
28	все же	3	4
29	из них	4	4
30	в этой	3	4
31	что в	2	3
32	и есть	2	3
33	одна из	3	3
34	в самом	2	3
35	у него	2	3
36	жизни и	4	3
37	приводит к	2	3
38	а в	4	3
39	таким образом	11	3
40	тем же	2	3
41	и даже	2	3
42	той же	2	3
43	во всяком	2	3
44	но в	3	3
45	в области	3	3
46	на этом	2	2
47	отнюдь не	3	2
48	так называемых	3	2
49	из этих	2	2
50	же это	4	2
51	тем не	2	2
52	или иной	2	2
53	было бы	3	2
54	следующим образом	3	2
55	всяком случае	2	2
56	в нем	3	2
57	то и	2	2
58	с одной	2	2
59	все эти	5	2
60	самом деле	2	2
61	что такое	2	2
62	с точки	5	2
63	роль в	2	2
64	могут быть	2	2
65	как он	3	2
