N	2gram	Losev_Prob_4	Otkroven
1	у достоевского	4	19
2	и в	20	19
3	но и	14	13
4	и не	28	13
5	в этом	9	12
6	а не	7	11
7	не в	13	11
8	человека в	3	11
9	может быть	9	11
10	не только	24	11
11	и все	8	10
12	в нем	5	10
13	не было	3	9
14	в самой	4	9
15	потому что	15	9
16	прежде всего	11	9
17	и он	2	8
18	он был	3	8
19	ни с	4	7
20	нет ничего	3	7
21	он не	2	7
22	в его	3	7
23	о великом	2	6
24	все это	9	6
25	как и	6	6
26	то что	15	5
27	а в	4	5
28	в том	20	5
29	для него	3	5
30	в этой	4	5
31	в самом	2	5
32	с его	2	4
33	всегда есть	4	4
34	на земле	2	4
35	только и	5	4
36	того чтобы	2	4
37	что не	4	4
38	все в	3	4
39	и его	10	4
40	все эти	16	4
41	не может	5	4
42	человеческих отношений	4	4
43	что в	3	4
44	в идиоте	2	4
45	в романах	2	4
46	к нему	3	3
47	в этих	5	3
48	и есть	4	3
49	это не	7	3
50	что он	8	3
51	для того	3	3
52	хотя бы	7	3
53	еще не	7	3
54	и от	6	3
55	и ее	4	3
56	в себе	12	3
57	было бы	14	3
58	никто не	2	3
59	о том	5	3
60	с ним	4	3
61	как бы	4	3
62	это было	2	3
63	уже в	4	2
64	все же	2	2
65	что и	3	2
66	не есть	12	2
67	и для	4	2
68	с тем	4	2
69	можно ли	3	2
70	в истории	3	2
71	так и	10	2
72	не очень	2	2
73	жизни в	2	2
74	в своем	3	2
75	для всякого	2	2
76	ли сказать	2	2
77	по себе	11	2
78	и к	3	2
79	и очень	5	2
80	не имеет	4	2
81	в ее	5	2
82	в которой	2	2
83	в других	2	2
84	том что	12	2
85	так что	6	2
86	в другом	3	2
87	в человеческом	2	2
88	и на	3	2
89	и то	2	2
90	что они	2	2
91	сказать что	7	2
92	и с	7	2
93	учение о	3	2
94	тем что	3	2
95	даже и	13	2
96	его в	2	2
97	в своей	4	2
98	и ни	5	2
99	так как	5	2
100	и о	5	2
101	не могли	2	2
102	хотя и	5	2
103	к ней	2	2
104	но в	8	2
105	и потому	7	2
