N	2gram	Medvedev_V_1	VrazhdaK
1	в году	6	18
2	тургенева и	2	18
3	у тургенева	3	11
4	не только	25	9
5	в этом	26	8
6	и в	26	8
7	но и	10	7
8	что в	10	7
9	достоевского и	2	7
10	то что	6	7
11	в котором	3	6
12	в нем	6	6
13	все же	5	6
14	и даже	2	6
15	в романе	4	6
16	как и	7	6
17	но в	2	6
18	то же	10	5
19	не было	7	5
20	и не	19	5
21	у него	6	5
22	об этом	9	5
23	в письме	13	5
24	между тем	5	5
25	в то	6	5
26	же время	5	5
27	как бы	5	4
28	все это	10	4
29	это не	7	4
30	что он	4	4
31	в дневнике	2	4
32	так же	3	4
33	в своих	2	4
34	может быть	22	4
35	письме к	9	4
36	о том	10	4
37	в ней	2	4
38	в виду	4	4
39	с его	3	3
40	связи с	4	3
41	в своем	8	3
42	что у	2	3
43	апреля года	2	3
44	в связи	3	3
45	в конце	3	3
46	т е	18	3
47	к этому	9	3
48	человека в	2	3
49	и у	2	3
50	в том	15	3
51	и его	6	3
52	том что	8	3
53	и как	3	3
54	марта года	2	3
55	в его	14	3
56	далеко не	2	3
57	его в	3	3
58	в чем	2	3
59	одним из	5	3
60	он не	2	3
61	он сам	2	2
62	в своей	4	2
63	после этого	2	2
64	из них	9	2
65	не менее	2	2
66	никогда не	4	2
67	вместе с	7	2
68	отнюдь не	3	2
69	в них	4	2
70	он пишет	7	2
71	как раз	3	2
72	и достоевский	2	2
73	не может	17	2
74	а в	3	2
75	таким образом	31	2
76	начиная с	2	2
77	п в	3	2
78	и образы	3	2
79	при создании	3	2
80	и он	2	2
81	мы знаем	3	2
82	же в	6	2
83	мая года	2	2
84	на основе	5	2
85	в этой	4	2
86	же как	2	2
87	их в	6	2
88	но как	3	2
89	точки зрения	3	2
90	и ее	4	2
91	в себе	6	2
92	для него	8	2
93	в нашей	4	2
94	еще не	2	2
95	во время	3	2
96	о чем	2	2
97	на это	2	2
98	при помощи	3	2
99	с нею	2	2
100	письме от	5	2
101	одна из	4	2
102	том же	6	2
