N	2gram	Vinokur_St_3	Istorich
1	и в	25	24
2	что он	19	21
3	не только	12	21
4	и т	8	17
5	т е	8	16
6	т д	2	16
7	может быть	19	14
8	не может	7	14
9	в этих	11	13
10	что в	19	13
11	мы имеем	5	12
12	как в	6	12
13	в этом	24	12
14	и здесь	3	12
15	но и	9	11
16	это не	7	10
17	у него	9	10
18	том что	15	10
19	а в	6	10
20	и что	3	10
21	мы видим	4	10
22	с другой	5	9
23	не в	6	9
24	все же	4	9
25	о том	8	9
26	потому что	5	9
27	показывает что	3	8
28	еще не	2	8
29	все это	8	8
30	другой стороны	5	8
31	то же	5	8
32	а не	5	8
33	или в	2	8
34	так как	3	8
35	один из	2	7
36	в том	20	7
37	одна из	2	7
38	во всех	2	7
39	то что	12	7
40	вместе с	2	7
41	к нему	4	7
42	что здесь	4	7
43	таким образом	10	7
44	тем что	19	6
45	всех этих	3	6
46	с этой	3	6
47	об этом	5	6
48	как и	4	6
49	но не	2	6
50	он не	5	6
51	того что	5	6
52	во время	3	6
53	только в	6	6
54	что это	16	6
55	ответ на	5	6
56	не менее	2	5
57	одной стороны	3	5
58	отношение к	4	5
59	дело не	2	5
60	так и	5	5
61	с одной	2	5
62	в чем	4	5
63	ничего не	4	5
64	имеем в	2	5
65	в русской	6	5
66	но в	5	5
67	на вопрос	3	4
68	никогда не	2	4
69	что у	2	4
70	вовсе не	2	4
71	он может	2	4
72	тем не	2	4
73	но все	2	4
74	одной из	2	4
75	своего рода	3	4
76	как бы	6	4
77	в их	3	4
78	то и	2	4
79	и не	10	4
80	не имеет	2	4
81	мы не	2	4
82	точки зрения	7	4
83	уже в	3	3
84	с его	3	3
85	не столько	2	3
86	обращается к	3	3
87	в качестве	4	3
88	в них	5	3
89	но они	2	3
90	тогда когда	2	3
91	раньше чем	3	3
92	пришли к	2	3
93	на то	5	3
94	так что	11	3
95	что они	2	3
96	кроме того	3	3
97	но есть	2	3
98	и если	3	3
99	например в	4	3
100	между прочим	3	3
101	том чтобы	2	3
102	вот тебе	2	3
103	здесь нет	2	3
104	при помощи	2	3
105	связано с	5	3
106	сих пор	2	3
107	ее в	2	3
108	как мы	2	3
109	и наконец	3	3
110	и по	2	3
111	и его	3	3
112	но это	4	3
113	из этих	6	3
114	связи с	3	3
115	что мы	3	3
116	в конце	6	3
117	сам он	2	2
118	по этому	3	2
119	тому что	3	2
120	того же	2	2
121	к этому	3	2
122	прежде всего	10	2
123	и ее	2	2
124	в то	7	2
125	ни в	5	2
126	без всякого	2	2
127	что его	2	2
128	нас не	2	2
129	такое же	2	2
130	близок к	2	2
131	то время	4	2
132	в форме	2	2
133	было бы	7	2
134	и тот	2	2
135	на его	4	2
136	в самом	2	2
137	он говорит	4	2
138	нас к	2	2
139	не совсем	2	2
140	к ней	4	2
141	что из	2	2
142	в котором	5	2
143	если в	2	2
144	тем более	3	2
145	и др	4	2
146	и такие	2	2
147	и тем	4	2
148	царь и	3	2
149	со стороны	3	2
150	связь с	4	2
151	отличается от	4	2
152	им в	2	2
153	в связи	3	2
154	уже не	3	2
155	в особенности	4	2
156	во многих	2	2
157	не просто	2	2
158	него есть	2	2
159	что не	2	2
160	и у	2	2
161	что такое	7	2
162	не так	3	2
163	в которой	4	2
164	его не	2	2
165	время как	4	2
166	что по	3	2
167	что этот	3	2
168	можно найти	2	2
169	сказать что	4	2
170	в одной	2	2
171	с этим	7	2
172	попадает в	3	2
173	но он	3	2
174	известно что	2	2
175	и на	6	2
176	что эти	4	2
177	все эти	3	2
178	и это	5	2
179	должен был	2	2
180	до сих	2	2
