N	2gram	Bakhtin_fo_2	Myslijsy
1	потому что	8	46
2	то есть	10	34
3	в том	10	32
4	и в	46	30
5	может быть	7	28
6	то же	8	23
7	не только	11	21
8	только в	11	21
9	но и	9	19
10	том что	4	18
11	то что	7	18
12	того что	3	18
13	что в	5	17
14	по себе	2	16
15	в себе	4	16
16	не в	9	15
17	и не	9	15
18	а не	4	15
19	таким образом	3	14
20	что и	3	13
21	так как	6	13
22	вместе с	9	12
23	а в	3	12
24	так и	7	11
25	как и	8	10
26	как в	4	10
27	в этом	22	10
28	в то	5	10
29	из этих	4	9
30	для него	3	9
31	было бы	2	9
32	в нем	5	9
33	с другой	2	7
34	вовсе не	13	7
35	к тому	3	7
36	как мы	6	7
37	так что	4	7
38	с тем	2	7
39	но не	5	7
40	с одной	2	7
41	тем что	3	7
42	что он	3	6
43	но это	2	6
44	с этим	5	6
45	из них	8	6
46	те же	6	6
47	не может	2	6
48	уже не	3	6
49	с ним	4	6
50	уже в	4	5
51	в них	7	5
52	человека и	4	5
53	словом и	2	5
54	и как	3	5
55	же время	4	5
56	в своем	5	5
57	еще не	6	5
58	должно быть	5	5
59	как на	2	5
60	и т	14	5
61	слова и	3	5
62	до того	2	4
63	перестает быть	2	4
64	и от	2	4
65	форма в	2	4
66	мы видели	2	4
67	в смысле	5	4
68	все это	6	4
69	все что	2	4
70	в его	8	4
71	себя и	3	4
72	в котором	4	4
73	тем более	3	4
74	один из	2	4
75	и его	12	4
76	он не	5	4
77	не было	3	4
78	если не	2	4
79	для того	8	4
80	тем же	2	4
81	и по	3	4
82	далеко не	2	4
83	и это	2	4
84	и потому	2	4
85	место в	4	3
86	и есть	2	3
87	могут быть	2	3
88	прежде всего	14	3
89	и все	6	3
90	что все	2	3
91	в образе	4	3
92	к этому	3	3
93	именно в	2	3
94	в последнем	2	3
95	до сих	2	3
96	можно сказать	2	3
97	при этом	6	3
98	в ряду	4	3
99	как бы	10	3
100	человеческой жизни	4	3
101	т д	3	3
102	того чтобы	8	3
103	так же	2	3
104	и на	7	3
105	говорить о	2	3
106	не знает	2	3
107	его в	6	3
108	там где	2	3
109	том как	3	3
110	сих пор	2	3
111	во время	10	2
112	прежде чем	3	2
113	не были	2	2
114	и та	2	2
115	связи с	8	2
116	на нас	3	2
117	та же	3	2
118	в одном	7	2
119	человек не	2	2
120	отношение к	3	2
121	ему в	3	2
122	на котором	2	2
123	все в	2	2
124	мы видим	2	2
125	в этой	2	2
126	что они	4	2
127	по своему	2	2
128	у него	9	2
129	она не	2	2
130	не могла	2	2
131	и о	2	2
132	том же	4	2
133	мы уже	9	2
134	только один	2	2
135	его жизни	4	2
136	все же	6	2
137	же в	4	2
138	жизни и	8	2
139	и до	2	2
140	в их	3	2
141	в форме	3	2
142	целый ряд	3	2
143	т п	11	2
144	этом отношении	2	2
145	и наконец	6	2
146	и даже	3	2
147	в которых	3	2
148	с этой	4	2
149	их в	4	2
150	от этого	2	2
151	людей и	2	2
152	точки зрения	10	2
153	только под	2	2
154	явлений и	2	2
155	о том	4	2
156	и самое	4	2
157	так сказать	7	2
158	и с	6	2
