N	2gram	Vinokur_St_2	VrazhdaK
1	в году	3	18
2	не только	19	9
3	в этом	21	8
4	и что	6	8
5	и в	29	8
6	года в	3	7
7	но и	19	7
8	что в	19	7
9	то что	11	7
10	в котором	7	6
11	в нем	4	6
12	все же	6	6
13	и даже	3	6
14	в романе	4	6
15	как и	2	6
16	в начале	3	6
17	но в	8	6
18	и с	4	6
19	то же	2	5
20	не было	3	5
21	и не	9	5
22	об этом	6	5
23	в письме	5	5
24	между тем	5	5
25	в то	2	5
26	в россии	3	5
27	во многом	2	4
28	как бы	5	4
29	все это	11	4
30	что он	13	4
31	так же	3	4
32	может быть	2	4
33	при этом	2	4
34	письме к	8	4
35	в истории	2	4
36	несмотря на	2	4
37	о том	17	4
38	в ней	7	4
39	в виду	7	4
40	речь идет	4	3
41	я не	7	3
42	с его	2	3
43	связи с	4	3
44	давно уже	3	3
45	в своем	9	3
46	что у	4	3
47	эти слова	2	3
48	в конце	2	3
49	т е	10	3
50	к этому	4	3
51	на то	2	3
52	он был	2	3
53	в том	27	3
54	раз в	2	3
55	и его	6	3
56	том что	27	3
57	и как	2	3
58	тем что	3	3
59	в его	13	3
60	в русской	5	3
61	его в	2	3
62	но он	3	3
63	и о	4	3
64	одним из	6	3
65	он не	9	3
66	а с	3	2
67	в известном	3	2
68	в своей	7	2
69	и это	2	2
70	в роман	2	2
71	из них	3	2
72	это письмо	2	2
73	не менее	3	2
74	никогда не	3	2
75	вместе с	7	2
76	в них	2	2
77	как раз	8	2
78	не может	2	2
79	тогда как	2	2
80	таким образом	10	2
81	он писал	3	2
82	в период	2	2
83	но это	3	2
84	в той	5	2
85	не мог	3	2
86	очень хорошо	2	2
87	и он	3	2
88	с точки	2	2
89	в этой	2	2
90	что я	2	2
91	же как	3	2
92	точки зрения	5	2
93	в себе	2	2
94	для него	4	2
95	во время	2	2
96	в письмах	2	2
97	в это	2	2
98	о чем	5	2
99	на это	2	2
100	при помощи	4	2
101	с нею	3	2
102	письмо к	2	2
103	том же	2	2
104	в эту	3	2
105	а также	2	2
