N	3gram	Losev_Dial_3	Vladivir
1	в том что	3	10
2	тем не менее	10	9
3	о том что	5	8
4	с точки зрения	14	6
5	не может быть	6	6
6	это значит что	21	6
7	как раз и	3	5
8	и в этом	2	5
9	к тому же	2	5
10	в то время	4	4
11	точно так же	2	4
12	ничего не говорит	3	4
13	то это значит	4	4
14	с одной стороны	3	3
15	само по себе	5	3
16	во всяком случае	2	3
17	вовсе не есть	5	2
18	что это есть	2	2
19	к тому что	2	2
20	так же как	2	2
21	в вопросе о	2	2
22	на первый план	4	2
23	даже и не	3	2
24	иметь в виду	2	2
25	сам по себе	5	2
26	в таком случае	10	2
27	ни в каком	3	2
28	но даже и	2	2
29	то время как	4	2
30	на то что	3	2
31	с другой стороны	2	2
32	не говорит о	2	2
33	в сравнении с	3	2
34	так или иначе	2	2
