N	2gram	Ircho_Kome_3	NovoeSre
1	а не	4	17
2	не может	3	16
3	и в	22	16
4	нового времени	2	12
5	и не	21	11
6	что в	5	9
7	в эпоху	2	9
8	он не	5	8
9	в том	12	8
10	не будет	2	7
11	как и	3	7
12	в этом	8	7
13	может быть	6	7
14	с его	3	6
15	никогда не	3	6
16	не знает	3	6
17	не в	4	6
18	ни в	10	6
19	должен быть	2	5
20	в нем	3	5
21	все это	5	5
22	и к	3	5
23	в ней	4	5
24	не только	5	5
25	не менее	5	4
26	то что	4	4
27	в них	3	4
28	это не	2	4
29	и все	2	4
30	не было	2	4
31	не имеет	3	4
32	и для	4	4
33	потому что	10	4
34	по своему	3	4
35	прежде всего	5	4
36	и мы	3	4
37	о том	8	4
38	но и	4	3
39	в своей	5	3
40	с другой	4	3
41	человека и	2	3
42	во всех	2	3
43	к тому	6	3
44	в мире	2	3
45	в ее	3	3
46	возвращение к	2	3
47	в основе	2	3
48	с тем	4	3
49	конечно не	3	3
50	как в	2	3
51	она не	2	3
52	еще не	6	3
53	наряду с	2	3
54	за пределы	2	3
55	к ним	3	3
56	все время	2	2
57	у него	4	2
58	вместе с	9	2
59	так и	4	2
60	что она	4	2
61	который в	3	2
62	другой стороны	2	2
63	а в	7	2
64	с одной	3	2
65	нет и	4	2
66	роль в	2	2
67	того чтобы	6	2
68	одной стороны	3	2
69	и даже	3	2
70	хотя бы	4	2
71	так же	4	2
72	по существу	2	2
73	время как	2	2
74	мы не	2	2
75	том что	13	2
76	можно было	2	2
77	и с	4	2
78	и что	6	2
79	с этим	3	2
80	равно как	2	2
81	и на	2	2
82	в себе	4	2
83	в то	6	2
84	не могла	3	2
85	и это	2	2
86	как это	5	2
87	хотя и	5	2
88	должно было	3	2
89	но в	5	2
