N	2gram	Medvedev_F_2	OGranits
1	и в	38	13
2	и его	21	12
3	прежде всего	15	9
4	не может	14	8
5	и не	20	8
6	может быть	23	8
7	и их	3	7
8	точки зрения	8	7
9	и пр	21	7
10	в его	10	7
11	таким образом	20	6
12	не только	9	6
13	социального общения	4	6
14	то что	6	6
15	только в	6	6
16	как бы	4	6
17	художественного произведения	6	5
18	все же	8	5
19	с точки	7	5
20	метода в	2	5
21	языка и	12	5
22	но ведь	3	5
23	хотя бы	6	5
24	в поэзии	12	5
25	и наконец	4	5
26	в процессе	9	5
27	то же	6	4
28	не является	3	4
29	в своей	7	4
30	в школе	2	4
31	вопроса о	2	4
32	все это	3	4
33	на фоне	4	4
34	только и	3	4
35	лишь в	7	4
36	мы не	3	4
37	было бы	6	4
38	но в	4	4
39	произведения как	2	4
40	что в	7	3
41	никогда не	2	3
42	но и	13	3
43	материала и	4	3
44	так и	8	3
45	что же	5	3
46	в их	6	3
47	вряд ли	2	3
48	не как	4	3
49	при анализе	2	3
50	и все	3	3
51	превращается в	2	3
52	самом деле	8	3
53	языка как	11	3
54	в ее	2	3
55	поэтического произведения	8	3
56	в поэтике	2	3
57	как и	9	3
58	не в	15	3
59	в которой	2	3
60	и то	2	3
61	не столько	4	3
62	в пределах	12	3
63	поставить вопрос	2	3
64	в искусстве	2	3
65	говорить о	5	3
66	с этим	5	3
67	и для	5	3
68	так как	4	3
69	слово в	2	3
70	и др	3	2
71	подойти к	2	2
72	каждый элемент	4	2
73	уже в	2	2
74	а как	3	2
75	самого начала	2	2
76	и тем	2	2
77	в нем	13	2
78	ее в	2	2
79	к предмету	3	2
80	и отчасти	3	2
81	во всей	2	2
82	в целом	3	2
83	литературного языка	3	2
84	о языке	4	2
85	а не	6	2
86	художественное произведение	2	2
87	в шкловского	6	2
88	что эта	2	2
89	другой стороны	4	2
90	с другой	3	2
91	в языке	6	2
92	от всех	2	2
93	в связи	10	2
94	входит в	4	2
95	и должно	5	2
96	а в	6	2
97	истории литературы	6	2
98	все эти	6	2
99	вовсе не	11	2
100	формальный метод	10	2
101	роль в	3	2
102	или иного	5	2
103	материалом для	3	2
104	в тех	2	2
105	с самого	2	2
106	к тому	4	2
107	и к	4	2
108	как в	4	2
109	если бы	5	2
110	в общем	5	2
111	в чем	2	2
112	не имеет	2	2
113	и композиции	2	2
114	социального события	2	2
115	в том	11	2
116	поэтического языка	65	2
117	том что	2	2
118	в зависимости	3	2
119	языка но	2	2
120	с ними	2	2
121	с помощью	10	2
122	зависимости от	3	2
123	что они	4	2
124	в этом	27	2
125	от этого	3	2
126	тем что	8	2
127	между тем	2	2
128	могут быть	6	2
129	при этом	9	2
130	чем же	3	2
131	к сожалению	2	2
132	и ее	6	2
133	для него	7	2
134	более того	5	2
135	и может	3	2
136	литературного произведения	3	2
137	того или	4	2
138	общения и	2	2
139	в целях	2	2
140	слова и	7	2
141	в области	3	2
142	в самом	16	2
143	там где	4	2
144	бы в	5	2
145	на язык	2	2
146	в ней	6	2
