N	2gram	Berdyaev_M_1	SlovoVZh
1	не может	28	16
2	точки зрения	4	14
3	может быть	30	14
4	и его	9	13
5	как бы	2	13
6	и в	28	12
7	отношению к	2	11
8	по отношению	2	11
9	и не	11	10
10	если бы	2	9
11	так как	3	9
12	прежде всего	10	8
13	для нас	3	7
14	сказать что	2	7
15	в нем	13	6
16	в том	6	6
17	только в	6	6
18	в ней	15	6
19	в жизни	3	5
20	то что	5	5
21	должна быть	6	5
22	никогда не	14	5
23	а не	25	5
24	хотя бы	3	5
25	как и	5	5
26	том что	3	5
27	как в	2	5
28	но в	7	5
29	в виду	2	5
30	и к	2	4
31	все же	2	4
32	отношение к	4	4
33	жизни и	2	4
34	уже не	4	4
35	литературы и	2	4
36	не в	16	4
37	в этом	20	4
38	и на	6	4
39	его в	3	4
40	в самом	11	4
41	к нему	7	4
42	за пределы	4	4
43	не только	29	4
44	в котором	8	3
45	в них	4	3
46	отношении к	2	3
47	не к	4	3
48	когда он	3	3
49	в своей	15	3
50	сих пор	2	3
51	все это	6	3
52	и по	4	3
53	все эти	2	3
54	но и	25	3
55	того что	7	3
56	он должен	3	3
57	и с	3	3
58	о том	2	3
59	в каком	2	3
60	в себе	7	3
61	для него	11	3
62	до сих	2	3
63	и для	2	3
64	конечно не	3	3
65	в творчестве	10	3
66	с ним	2	3
67	место в	2	2
68	уже в	4	2
69	с этой	4	2
70	с его	3	2
71	что и	4	2
72	что в	10	2
73	вместе с	6	2
74	себя и	3	2
75	в этих	4	2
76	не остается	2	2
77	в своем	10	2
78	нет ничего	7	2
79	это не	5	2
80	и все	10	2
81	бы не	2	2
82	к этому	2	2
83	социальной среды	3	2
84	и что	2	2
85	ко всем	3	2
86	не есть	9	2
87	не так	3	2
88	его как	2	2
89	и те	2	2
90	в момент	3	2
91	но не	8	2
92	могут быть	2	2
93	есть уже	4	2
94	до конца	14	2
95	она не	4	2
96	в то	2	2
97	ничего не	3	2
98	он не	24	2
99	в его	9	2
100	и потому	10	2
101	относится к	2	2
