N	3gram	Bakhtin_Pr_1	Formalny
1	не может быть	4	10
2	и т п	3	9
3	с точки зрения	13	7
4	в этом отношении	3	7
5	то же время	9	5
6	и в этом	5	5
7	в самом деле	2	5
8	в то же	9	5
9	во всяком случае	3	5
10	в большинстве случаев	2	3
11	и не может	2	3
12	с другой стороны	3	3
13	как раз и	3	3
14	в зависимости от	5	3
15	на самом деле	4	3
16	и в то	2	3
17	сами по себе	3	2
18	все эти определения	2	2
19	дело идет о	3	2
20	в конце концов	5	2
21	не входит в	3	2
22	в этом смысле	10	2
23	в том что	6	2
24	и не входит	2	2
25	но все же	2	2
