N	2gram	Propp_Russ_2	Hudozhes
1	и в	29	28
2	том что	22	19
3	в ее	3	18
4	в том	22	15
5	а не	4	14
6	не в	4	13
7	в этом	11	13
8	о том	9	12
9	как и	11	11
10	при этом	6	11
11	не только	10	11
12	уже не	4	10
13	но и	8	9
14	о чем	4	8
15	может быть	13	8
16	между тем	3	8
17	жизни в	2	7
18	и все	4	7
19	об этом	2	7
20	что она	3	7
21	тогда как	2	7
22	состоит в	15	7
23	как это	4	7
24	это не	5	6
25	в котором	3	6
26	то что	5	6
27	в своей	2	6
28	то же	4	6
29	не было	2	6
30	а в	9	6
31	и с	10	6
32	тем что	3	6
33	в то	2	6
34	что это	3	5
35	и другие	14	5
36	не менее	2	5
37	как бы	18	5
38	как в	7	5
39	в этой	3	5
40	что в	22	5
41	она не	3	5
42	никогда не	2	5
43	одно из	2	5
44	тем не	2	4
45	говорит о	2	4
46	но не	5	4
47	в качестве	3	4
48	для того	6	4
49	и о	3	4
50	что и	2	4
51	и т	5	4
52	то и	4	4
53	не может	5	4
54	того чтобы	6	4
55	подобно тому	3	4
56	тому как	3	4
57	в других	15	4
58	в них	4	3
59	о них	2	3
60	с другой	2	3
61	прежде всего	2	3
62	и ее	2	3
63	что на	2	3
64	для нас	6	3
65	еще не	6	3
66	одной стороны	2	3
67	было бы	3	3
68	не все	4	3
69	этом и	2	3
70	в этих	3	3
71	все это	10	3
72	а с	2	3
73	с одной	2	3
74	следующим образом	5	3
75	так же	4	3
76	или в	7	3
77	можно было	2	3
78	с другими	3	3
79	и на	6	3
80	пока еще	2	3
81	на себя	2	3
82	будто бы	5	3
83	к нему	4	3
84	по полю	4	2
85	т е	24	2
86	на могилах	2	2
87	именно в	4	2
88	не столько	2	2
89	и от	3	2
90	из этих	2	2
91	а за	4	2
92	другой день	2	2
93	как уже	2	2
94	не с	2	2
95	как мы	3	2
96	в г	2	2
97	же как	4	2
98	одна из	11	2
99	на этом	3	2
100	на другой	2	2
101	к ней	2	2
102	в церкви	2	2
103	а также	4	2
104	к числу	2	2
105	один из	2	2
106	все же	2	2
107	из них	4	2
108	вместе с	6	2
109	дело не	2	2
110	данном случае	7	2
111	т д	5	2
112	того как	2	2
113	ее на	2	2
114	и для	2	2
115	в данном	6	2
116	и то	2	2
117	потому что	5	2
118	в виде	4	2
119	его в	8	2
120	та же	2	2
121	но в	5	2
