N	2gram	Bakhtin_Fr_8	VelikijI
1	и не	9	20
2	и в	56	16
3	то что	3	9
4	так как	4	9
5	еще не	10	8
6	что они	2	7
7	и потому	4	7
8	а не	2	7
9	человека и	2	6
10	в мире	2	5
11	хотя и	2	5
12	как бы	11	5
13	но и	9	5
14	все это	8	5
15	что все	4	4
16	в образе	3	4
17	что он	2	4
18	в нем	8	4
19	как и	5	4
20	в котором	2	4
21	так и	13	4
22	потому что	6	4
23	в этом	14	4
24	в ней	4	4
25	и все	6	4
26	в его	18	4
27	с его	5	3
28	что в	5	3
29	в этих	11	3
30	в них	11	3
31	ни в	2	3
32	в том	13	3
33	не в	3	3
34	но это	2	3
35	во всех	8	3
36	никогда не	5	3
37	что и	3	3
38	в своей	2	3
39	бы и	2	3
40	не было	5	3
41	и для	2	3
42	их в	4	3
43	все эти	15	3
44	но в	6	3
45	с тем	2	2
46	это не	2	2
47	в духе	4	2
48	прежде всего	6	2
49	его к	3	2
50	том что	8	2
51	одна из	4	2
52	но не	5	2
53	конечно не	4	2
54	для него	2	2
55	когда в	2	2
56	и сам	2	2
57	того чтобы	4	2
58	и во	2	2
59	не только	8	2
60	не могли	2	2
61	один из	5	2
62	в форме	3	2
63	мы не	2	2
64	уже не	3	2
65	а в	2	2
66	с ним	2	2
67	никогда еще	2	2
68	и то	2	2
69	людей и	2	2
70	между тем	3	2
71	мир и	2	2
72	только в	9	2
73	превращаются в	2	2
