N	2gram	Tiupa_Hudo_2	VelikijI
1	и не	18	20
2	и в	28	16
3	то что	6	9
4	еще не	3	8
5	что они	4	7
6	а не	14	7
7	человека и	3	6
8	к людям	2	6
9	в мире	7	5
10	как бы	5	5
11	но и	9	5
12	все это	3	5
13	на себя	3	5
14	что все	3	4
15	что он	8	4
16	в нем	3	4
17	как и	11	4
18	все что	3	4
19	в котором	6	4
20	так и	8	4
21	что не	2	4
22	потому что	2	4
23	в этом	13	4
24	в ней	3	4
25	говорить о	2	4
26	и все	7	4
27	в его	11	4
28	с его	5	3
29	что в	5	3
30	в этих	3	3
31	в них	3	3
32	превращается в	4	3
33	в жизни	8	3
34	в том	15	3
35	не в	13	3
36	что я	2	3
37	к тому	7	3
38	никогда не	5	3
39	оно не	2	3
40	что и	4	3
41	людей в	2	3
42	жизни и	6	3
43	в своей	6	3
44	бы и	4	3
45	от которого	2	3
46	тому что	4	3
47	не было	6	3
48	лишь в	2	3
49	хотя бы	2	3
50	и для	2	3
51	личности и	2	3
52	нет ничего	2	3
53	но в	2	3
54	эти люди	2	2
55	его и	2	2
56	давно уже	2	2
57	это не	6	2
58	в духе	2	2
59	прежде всего	3	2
60	что было	3	2
61	для нас	3	2
62	да и	5	2
63	том что	19	2
64	одна из	2	2
65	но не	4	2
66	они и	2	2
67	для него	5	2
68	когда в	3	2
69	и сам	5	2
70	того чтобы	4	2
71	вслед за	4	2
72	не только	11	2
73	один из	2	2
74	не с	2	2
75	и т	4	2
76	не будет	2	2
77	и тогда	2	2
78	т д	2	2
79	а с	3	2
80	тем что	6	2
81	уже не	10	2
82	более чем	2	2
83	а в	6	2
84	с ним	7	2
85	можно было	3	2
86	и то	2	2
87	между тем	8	2
88	только в	4	2
89	и это	3	2
90	а между	4	2
91	быть личностью	2	2
