N	2gram	Bakhtin_Pr_2	FransuaR
1	и в	43	29
2	то есть	4	21
3	таким образом	5	20
4	и не	29	16
5	и все	6	13
6	как и	14	12
7	но в	10	12
8	так и	3	11
9	и на	10	11
10	в этом	13	11
11	то же	8	10
12	во время	4	10
13	как мы	10	10
14	в романе	3	10
15	мы уже	3	10
16	в то	7	10
17	не только	11	10
18	вовсе не	5	9
19	в конце	2	9
20	но и	14	9
21	все эти	5	9
22	и с	5	9
23	его в	3	9
24	же время	5	8
25	прежде всего	10	8
26	в его	10	8
27	и его	8	8
28	как бы	22	8
29	в них	4	7
30	так же	2	7
31	в том	6	7
32	так как	4	7
33	из них	2	6
34	в большинстве	9	6
35	здесь в	3	6
36	в сущности	9	6
37	но он	4	6
38	это место	2	5
39	что это	2	5
40	у него	6	5
41	это не	3	5
42	того же	3	5
43	до конца	4	5
44	и о	2	5
45	далеко не	4	5
46	в нем	12	5
47	уже говорили	3	5
48	в своей	4	5
49	и до	4	5
50	большинстве случаев	8	5
51	рядом с	5	5
52	сказать что	2	5
53	он и	3	5
54	перед нами	7	4
55	с его	4	4
56	в образе	2	4
57	что он	13	4
58	но это	4	4
59	по своему	2	4
60	есть и	3	4
61	еще не	9	4
62	которую он	2	4
63	конце концов	2	4
64	и др	2	4
65	то что	7	4
66	конечно не	2	4
67	все это	5	4
68	с другой	4	4
69	также и	3	4
70	в результате	4	4
71	тем что	3	4
72	точки зрения	13	4
73	в узком	2	3
74	в своем	4	3
75	превращается в	2	3
76	и так	2	3
77	и здесь	3	3
78	что у	2	3
79	а затем	2	3
80	все же	3	3
81	том что	2	3
82	и как	2	3
83	такой же	3	3
84	более или	3	3
85	мы можем	2	3
86	ведь это	2	3
87	и сам	7	3
88	слов и	5	3
89	тот же	3	3
90	того что	2	3
91	той же	3	3
92	и их	3	3
93	он не	9	3
94	к нему	5	3
95	здесь не	6	3
96	образом и	3	3
97	или менее	3	3
98	но конечно	2	3
99	другой стороны	3	3
100	при этом	6	3
101	и они	2	3
102	и даже	3	3
103	особенно в	2	3
104	с ними	2	3
105	же и	4	3
106	в себе	5	3
107	там где	4	3
108	в эту	3	3
109	уже в	2	2
110	времени и	2	2
111	бы не	2	2
112	их с	2	2
113	уже и	2	2
114	в приведенном	3	2
115	в этих	6	2
116	но здесь	5	2
117	в жизни	3	2
118	и со	3	2
119	его к	2	2
120	в различных	3	2
121	а как	4	2
122	к тому	4	2
123	и к	3	2
124	им в	2	2
125	ни в	2	2
126	он был	3	2
127	да и	5	2
128	что я	6	2
129	есть в	3	2
130	видеть и	4	2
131	мы увидим	5	2
132	но не	5	2
133	о своей	3	2
134	в которые	2	2
135	в себя	3	2
136	то время	2	2
137	кроме того	3	2
138	не может	18	2
139	может быть	23	2
140	том же	4	2
141	хотя и	5	2
142	у меня	5	2
143	никогда не	9	2
144	уже не	3	2
145	в виду	3	2
146	в котором	6	2
147	и для	3	2
148	себя в	3	2
149	вот как	4	2
150	но эти	4	2
151	его и	2	2
152	в словах	4	2
153	как в	2	2
154	в их	3	2
155	как раз	4	2
156	не на	4	2
157	узком смысле	2	2
158	приведенном нами	3	2
159	в той	5	2
160	мы здесь	2	2
161	и эта	2	2
162	и наконец	6	2
163	с точки	8	2
164	между ними	4	2
165	в слове	5	2
166	или в	8	2
167	здесь с	2	2
168	в своих	2	2
169	вы и	2	2
170	и то	2	2
171	их в	4	2
172	и при	2	2
173	в одной	3	2
174	только в	4	2
175	мы сказали	2	2
176	но этот	2	2
177	о том	5	2
178	если же	4	2
179	как он	2	2
180	и это	4	2
181	дело в	2	2
182	так сказать	6	2
183	и этим	3	2
184	с ним	3	2
185	же не	4	2
