N	2gram	Losev_Prob_4	slovoVRo
1	и в	20	39
2	может быть	9	37
3	и т	4	35
4	и его	10	33
5	то есть	27	26
6	не только	24	24
7	и не	28	22
8	но и	14	21
9	не может	5	20
10	в нем	5	19
11	все это	9	16
12	в этом	9	16
13	так и	10	15
14	а не	7	14
15	как в	5	13
16	в пределах	2	13
17	во всех	4	12
18	в истории	3	11
19	вовсе не	21	10
20	к своему	2	9
21	не в	13	9
22	и с	7	9
23	прежде всего	11	8
24	себя в	2	8
25	таким образом	8	8
26	точки зрения	14	8
27	с его	2	7
28	при этом	6	7
29	для него	3	7
30	еще не	7	7
31	в его	3	7
32	как бы	4	7
33	в этих	5	7
34	и потому	7	7
35	и даже	9	7
36	как мы	3	7
37	с ним	4	7
38	в них	5	6
39	и к	3	6
40	все же	2	6
41	как и	6	6
42	в своем	3	6
43	но не	5	6
44	жизни и	5	6
45	в значительной	2	6
46	все эти	16	6
47	но в	8	6
48	с другой	7	5
49	это не	7	5
50	и для	4	5
51	и все	8	5
52	по себе	11	5
53	для нас	6	5
54	том что	12	5
55	но все	3	5
56	или иной	13	5
57	только в	23	5
58	в том	20	5
59	той или	14	5
60	человека в	3	5
61	уже не	5	5
62	и наконец	4	5
63	с ними	2	5
64	конечно не	3	5
65	не менее	10	4
66	всех этих	6	4
67	ни в	17	4
68	художественный образ	6	4
69	зависимости от	3	4
70	в смысле	5	4
71	как предмет	2	4
72	в новое	3	4
73	в зависимости	3	4
74	в отношении	4	4
75	для этого	2	4
76	то же	7	4
77	в той	8	4
78	для всех	3	4
79	в таком	6	4
80	а в	4	4
81	с другими	3	4
82	и на	3	4
83	дело с	2	4
84	даже и	13	4
85	xix века	2	4
86	в то	4	4
87	его в	2	4
88	здесь не	7	4
89	во всем	2	4
90	так как	5	4
91	перед нами	13	3
92	что в	3	3
93	хотя бы	7	3
94	и от	6	3
95	в романах	2	3
96	стороны и	2	3
97	здесь в	5	3
98	сама по	2	3
99	что и	3	3
100	из себя	2	3
101	но это	6	3
102	связи с	3	3
103	глубоко и	3	3
104	и как	3	3
105	в ней	7	3
106	к нему	3	3
107	бы и	3	3
108	а также	6	3
109	с точки	11	3
110	или даже	4	3
111	сказать что	7	3
112	говорить о	2	3
113	в чем	2	3
114	как это	3	3
115	во всяком	8	3
116	в данном	6	2
117	уже в	4	2
118	не было	3	2
119	и более	3	2
120	независимо от	3	2
121	ни к	2	2
122	хотя и	5	2
123	и непосредственно	2	2
124	однако в	2	2
125	в нашем	12	2
126	но она	3	2
127	жизни в	2	2
128	в смысловом	2	2
129	и образ	4	2
130	в себе	12	2
131	что он	8	2
132	без всякого	4	2
133	с ее	2	2
134	если оно	2	2
135	в одно	6	2
136	речь о	2	2
137	более или	2	2
138	как о	3	2
139	со всеми	2	2
140	только и	5	2
141	за пределы	2	2
142	же и	3	2
143	к ней	2	2
144	всяком случае	4	2
145	на его	2	2
146	то что	15	2
147	дело в	2	2
148	вместе с	5	2
149	все они	3	2
150	или менее	2	2
151	а именно	2	2
152	кроме того	4	2
153	отличается от	4	2
154	здесь уже	2	2
155	в связи	3	2
156	и ни	5	2
157	с этим	4	2
158	т д	3	2
159	в виде	22	2
160	от нас	2	2
161	именно в	7	2
162	еще более	2	2
163	это и	4	2
164	но эта	2	2
165	мы не	7	2
166	того чтобы	2	2
167	для того	3	2
168	или в	5	2
169	также и	13	2
170	в результате	8	2
171	он не	2	2
172	далеко не	2	2
173	к его	3	2
174	но как	3	2
175	в другом	3	2
176	о том	5	2
177	здесь как	4	2
178	в области	3	2
179	в одном	4	2
180	художественном образе	2	2
