N	2gram	Tiupa_Lite_1	Vladivir
1	вл соловьева	2	152
2	и в	8	30
3	в году	13	24
4	то что	10	20
5	в этом	12	20
6	у него	3	19
7	в том	16	18
8	и не	12	18
9	что он	5	13
10	в конце	4	13
11	том что	14	12
12	что в	3	12
13	не только	24	12
14	в его	7	11
15	а в	3	11
16	а также	5	10
17	и даже	3	10
18	не было	3	10
19	не в	8	9
20	для него	2	9
21	было бы	2	9
22	все же	4	9
23	потому что	3	9
24	не может	5	9
25	в то	5	9
26	связи с	6	8
27	в своем	11	8
28	но и	17	8
29	в связи	4	8
30	не мог	3	8
31	но в	3	8
32	не менее	7	7
33	никогда не	4	7
34	точки зрения	6	7
35	может быть	13	7
36	а не	16	7
37	как это	8	7
38	то есть	6	7
39	еще и	3	6
40	прежде всего	11	6
41	тем не	2	6
42	только в	8	6
43	всяком случае	2	6
44	во всяком	3	6
45	в себе	7	6
46	жизни и	3	6
47	и его	4	6
48	также и	3	6
49	в москве	2	6
50	и то	2	5
51	и я	6	5
52	как и	6	5
53	при этом	19	5
54	того же	2	5
55	в своей	4	5
56	как бы	7	5
57	для себя	5	5
58	так и	4	5
59	того что	6	5
60	все эти	2	5
61	с его	5	4
62	с этой	5	4
63	я не	7	4
64	его в	3	4
65	что его	3	4
66	в этой	4	4
67	в целом	8	4
68	несмотря на	3	4
69	в нем	2	4
70	то это	2	4
71	не есть	2	4
72	со стороны	4	4
73	то же	5	4
74	ко всему	2	4
75	той же	3	4
76	по поводу	2	4
77	о том	2	4
78	уже в	5	3
79	хотя бы	2	3
80	из этих	2	3
81	же время	5	3
82	да и	3	3
83	тем более	2	3
84	что я	2	3
85	но не	4	3
86	он и	3	3
87	в данном	5	3
88	вплоть до	2	3
89	том же	3	3
90	так или	8	3
91	с точки	2	3
92	как в	5	3
93	в отличие	5	3
94	таким образом	3	3
95	уже не	7	3
96	и вполне	2	3
97	отличие от	5	3
98	или иначе	9	3
99	не столько	5	3
100	я в	5	3
101	не говоря	2	3
102	дело в	3	3
103	нет ничего	2	3
104	в россии	2	3
105	в области	3	3
106	этого не	2	2
107	еще в	4	2
108	жизни с	2	2
109	казалось бы	5	2
110	и есть	3	2
111	однако в	2	2
112	у достоевского	2	2
113	это не	4	2
114	себе в	2	2
115	раз и	2	2
116	же это	2	2
117	к тому	2	2
118	от всякой	2	2
119	же в	5	2
120	друг друга	4	2
121	из его	2	2
122	в стихотворении	4	2
123	на этом	2	2
124	и сам	6	2
125	о своем	2	2
126	такого рода	10	2
127	в самом	3	2
128	в сущности	2	2
129	в частности	15	2
130	же и	3	2
131	в виду	3	2
132	даже в	2	2
133	говоря уже	2	2
134	себя в	6	2
135	данном случае	4	2
136	в их	3	2
137	не на	2	2
138	для вас	2	2
139	же году	3	2
140	что не	2	2
141	не любил	2	2
142	и прежде	3	2
143	что для	2	2
144	во многих	2	2
145	можно было	2	2
146	в своих	4	2
147	всем и	2	2
148	было у	2	2
149	как будто	2	2
150	как он	2	2
151	я и	7	2
