N	2gram	Ircho_Kome_2	VelikijI
1	и не	14	20
2	и в	26	16
3	то что	6	9
4	так как	4	9
5	еще не	6	8
6	в истории	5	8
7	в мире	2	5
8	хотя и	4	5
9	как бы	2	5
10	но и	10	5
11	все это	3	5
12	на себя	7	5
13	и есть	2	4
14	в образе	3	4
15	и я	2	4
16	что он	5	4
17	в нем	6	4
18	как и	4	4
19	в котором	3	4
20	так и	12	4
21	потому что	6	4
22	в этом	10	4
23	в ней	3	4
24	говорить о	2	4
25	и все	2	4
26	в его	4	4
27	с его	5	3
28	если не	2	3
29	что в	9	3
30	в этих	4	3
31	в них	4	3
32	в конце	2	3
33	ни в	5	3
34	в том	11	3
35	не в	2	3
36	тот же	2	3
37	к тому	12	3
38	во всех	3	3
39	то это	2	3
40	что и	7	3
41	жизни и	3	3
42	как не	2	3
43	в своей	3	3
44	бы и	2	3
45	тому что	4	3
46	не было	3	3
47	и что	2	3
48	за то	4	3
49	не имеет	3	3
50	хотя бы	2	3
51	и для	4	3
52	от этого	2	3
53	но в	3	3
54	что их	2	2
55	с тем	5	2
56	эти люди	2	2
57	для их	2	2
58	это не	2	2
59	в духе	2	2
60	прежде всего	4	2
61	для нас	3	2
62	да и	3	2
63	том что	9	2
64	по которым	2	2
65	одна из	2	2
66	но не	3	2
67	когда в	2	2
68	и сам	3	2
69	того чтобы	6	2
70	вслед за	2	2
71	и во	2	2
72	не только	7	2
73	нет и	2	2
74	один из	5	2
75	и т	2	2
76	и за	2	2
77	всего в	2	2
78	тем что	3	2
79	мы не	2	2
80	более чем	4	2
81	а в	3	2
82	можно было	4	2
83	между тем	4	2
84	только в	4	2
85	и это	2	2
86	во всяком	2	2
87	мира в	4	2
