N	2gram	Losev_Vlad_2	Poddanst
1	не только	12	17
2	и в	30	14
3	и не	18	12
4	в области	3	11
5	в отношении	3	10
6	в этом	20	10
7	то же	4	9
8	в том	18	9
9	но в	8	9
10	хотя бы	3	8
11	же время	3	7
12	в то	9	7
13	только в	6	7
14	но и	8	6
15	в ней	4	6
16	было бы	9	6
17	а н	14	5
18	не в	9	5
19	о в	2	5
20	и о	4	5
21	может быть	7	5
22	же в	2	4
23	в котором	5	4
24	то что	20	4
25	что в	12	4
26	в своем	8	4
27	не может	9	4
28	россии и	2	4
29	в с	10	4
30	по себе	5	4
31	и к	6	4
32	а в	11	4
33	том что	12	4
34	мы должны	4	4
35	и если	4	4
36	а также	10	4
37	как бы	5	4
38	и потому	2	4
39	в нем	4	3
40	с тем	2	3
41	в сравнении	2	3
42	в россии	3	3
43	это не	2	3
44	прежде всего	6	3
45	заключается в	2	3
46	для того	2	3
47	с точки	3	3
48	мы не	2	3
49	и как	3	3
50	но не	3	3
51	точки зрения	7	3
52	и вселенская	3	3
53	в себе	6	3
54	тот же	5	3
55	наряду с	2	3
56	потому что	9	3
57	хотя и	6	3
58	я и	2	3
59	н н	9	3
60	не менее	7	2
61	начала и	2	2
62	именно в	4	2
63	и есть	2	2
64	во всех	3	2
65	в частности	2	2
66	время в	4	2
67	тем более	3	2
68	со стороны	4	2
69	в них	3	2
70	в последние	2	2
71	есть нечто	2	2
72	все это	5	2
73	не столько	3	2
74	д д	2	2
75	отношения к	3	2
76	с этим	5	2
77	между прочим	7	2
78	еще более	3	2
79	с с	4	2
80	и вот	3	2
81	на этих	3	2
82	эта идея	2	2
83	а не	7	2
84	того что	5	2
85	должно быть	3	2
86	для нас	7	2
87	м а	4	2
88	в русском	2	2
89	которое в	2	2
90	в виде	3	2
91	не было	10	2
92	в начале	4	2
93	в общем	2	2
94	и мы	4	2
95	и это	3	2
96	в статье	2	2
97	церкви и	2	2
98	никак не	3	2
99	да и	3	2
100	не о	2	2
101	в его	11	2
102	и с	14	2
