N	2gram	Berdyaev_M_1	Hudozhes
1	том что	3	16
2	и в	28	14
3	а не	25	12
4	в том	6	12
5	не только	29	12
6	о том	2	12
7	прежде всего	10	11
8	в этом	20	11
9	в себе	7	11
10	для него	11	10
11	в своей	15	10
12	у него	17	9
13	что он	10	9
14	как и	5	9
15	как в	2	8
16	то что	5	8
17	отношению к	2	8
18	по отношению	2	8
19	в этой	6	8
20	в то	2	8
21	в его	9	8
22	ничего не	3	8
23	быть может	7	7
24	это не	5	7
25	личности в	2	7
26	к тому	3	7
27	уже не	4	7
28	не в	16	7
29	как бы	2	7
30	не может	28	7
31	а в	4	7
32	никогда не	14	6
33	что в	10	6
34	было бы	10	6
35	жизни в	2	6
36	человека в	13	6
37	с его	3	5
38	в этих	4	5
39	интерес к	3	5
40	может быть	30	5
41	только в	6	5
42	и он	12	5
43	но и	25	5
44	жизни и	2	5
45	и его	9	5
46	потому что	16	5
47	точки зрения	4	5
48	но в	7	5
49	в своем	10	4
50	т е	2	4
51	и от	2	4
52	и все	10	4
53	и к	2	4
54	она не	4	4
55	в самом	11	4
56	он уже	6	4
57	в ней	15	4
58	один из	4	4
59	себя в	3	4
60	в центре	2	4
61	не было	18	4
62	человеческой жизни	2	4
63	того что	7	4
64	он не	24	4
65	по своей	2	4
66	как будто	2	4
67	в конце	7	4
68	и это	12	4
69	с ним	2	4
70	и с	3	4
71	но не	8	3
72	если бы	2	3
73	но он	9	3
74	с этим	3	3
75	в мире	10	3
76	в ее	3	3
77	от него	4	3
78	на этом	3	3
79	по своему	2	3
80	и когда	2	3
81	о нем	2	3
82	еще в	2	3
83	возвращается к	2	3
84	в нем	13	3
85	все же	2	3
86	приводит к	2	3
87	и для	2	3
88	все эти	2	3
89	лишь в	6	3
90	того чтобы	2	3
91	к этой	2	3
92	и по	4	3
93	тем что	4	3
94	и на	6	3
95	будто бы	3	3
96	его в	3	3
97	в творчестве	10	3
98	в человеке	8	2
99	человек в	9	2
100	себя и	3	2
101	мысли о	2	2
102	о человеке	23	2
103	и потому	10	2
104	своих героев	2	2
105	вопрос о	2	2
106	живет в	2	2
107	человека его	3	2
108	и что	2	2
109	о своей	2	2
110	до конца	14	2
111	себе и	2	2
112	в начале	2	2
113	не стал	2	2
114	в него	3	2
115	как он	2	2
116	человека не	4	2
117	на том	3	2
118	сих пор	2	2
119	в их	4	2
120	все это	6	2
121	заключает в	3	2
122	особенно в	3	2
123	не знает	4	2
124	и не	11	2
125	не имеет	3	2
126	должно быть	3	2
127	не была	3	2
128	с этой	4	2
129	эти слова	2	2
130	с того	2	2
131	нет ничего	7	2
132	его личности	3	2
133	до сих	2	2
