N	2gram	Nazirov_Tv_1	DiskursI
1	в себе	2	19
2	при этом	7	17
3	в качестве	2	16
4	и в	21	16
5	может быть	5	16
6	как и	12	16
7	в этом	6	16
8	и не	7	15
9	а не	5	14
10	в частности	2	12
11	в отличие	2	12
12	отличие от	2	12
13	то есть	12	12
14	в мире	4	11
15	представляет собой	3	11
16	но и	3	11
17	но в	7	11
18	том что	11	10
19	не только	7	10
20	своего рода	4	10
21	так и	2	9
22	не может	4	9
23	в том	7	8
24	как в	8	8
25	не менее	6	7
26	прежде всего	4	7
27	в нем	3	7
28	но не	3	7
29	в данном	2	7
30	с его	11	6
31	отнюдь не	5	6
32	все же	5	6
33	в своей	4	6
34	данном случае	2	6
35	то же	13	6
36	тем самым	7	6
37	в своих	5	6
38	что в	12	5
39	в своем	4	5
40	с другой	3	5
41	же время	12	5
42	для него	6	5
43	то что	8	5
44	и на	7	5
45	в то	15	5
46	одного из	2	4
47	к этому	2	4
48	как бы	17	4
49	времени в	13	4
50	человека в	6	4
51	в рассказе	3	4
52	потому что	5	4
53	в основе	2	4
54	в этой	5	4
55	о том	6	4
56	я и	3	4
57	перед нами	2	3
58	жизни в	6	3
59	могут быть	2	3
60	в этих	2	3
61	это не	4	3
62	не столько	2	3
63	и все	6	3
64	было в	2	3
65	уже не	3	3
66	и того	2	3
67	и как	4	3
68	не в	2	3
69	соответствии с	3	3
70	можно сказать	2	3
71	мысль о	2	3
72	он не	8	3
73	в его	13	3
74	в русской	5	3
75	еще в	2	3
76	в котором	6	3
77	к жизни	2	3
78	из них	2	3
79	жизни и	3	3
80	но она	2	3
81	приводит к	2	3
82	и наконец	2	3
83	и его	6	3
84	ведет к	2	3
85	но это	5	3
86	не знает	2	3
87	как будто	5	3
88	только в	5	3
89	в творчестве	6	3
90	мира в	2	3
91	место в	3	2
92	натуральной школы	2	2
93	никогда не	3	2
94	у пушкина	2	2
95	в целом	4	2
96	это в	3	2
97	личности в	2	2
98	что он	6	2
99	в соответствии	3	2
100	такой же	2	2
101	времени и	4	2
102	того же	2	2
103	не нужно	2	2
104	живет в	2	2
105	в ней	2	2
106	далеко не	3	2
107	по сути	4	2
108	что и	2	2
109	с ее	3	2
110	наше время	2	2
111	время в	3	2
112	вместе с	2	2
113	русской литературе	4	2
114	именно в	2	2
115	по преимуществу	2	2
116	в себя	2	2
117	там же	3	2
118	все это	10	2
119	по природе	6	2
120	в принципе	2	2
121	а в	6	2
122	той же	3	2
123	что как	2	2
124	в наше	2	2
125	и с	3	2
126	стремится к	3	2
127	дело в	3	2
128	говорит об	2	2
129	в записках	4	2
