N	2gram	Ircho_Kome_2	Problema
1	то что	6	38
2	и не	14	37
3	вовсе не	2	37
4	и в	26	35
5	не только	7	24
6	том что	9	19
7	о том	6	18
8	может быть	11	18
9	в этом	10	17
10	но и	10	16
11	только в	4	14
12	не менее	4	13
13	и что	2	13
14	потому что	6	13
15	во всяком	2	13
16	не может	3	13
17	в том	11	12
18	хотя бы	2	12
19	что в	9	11
20	прежде всего	4	11
21	так что	5	11
22	всяком случае	2	10
23	и с	5	10
24	говорить о	2	10
25	еще не	6	10
26	да и	3	10
27	для нас	3	9
28	в этой	3	9
29	едва ли	14	9
30	было бы	8	8
31	в виду	2	8
32	ясно что	8	8
33	все же	4	8
34	тут же	2	8
35	в конце	2	7
36	не является	2	7
37	не имеет	3	7
38	в его	4	7
39	так и	12	7
40	бы и	2	7
41	так как	4	7
42	мы не	2	7
43	с другой	2	6
44	ни в	5	6
45	о чем	3	6
46	так или	3	6
47	и т	2	6
48	в то	6	6
49	и для	4	6
50	или иначе	3	6
51	мы можем	3	6
52	но в	3	6
53	как будто	4	6
54	и вовсе	2	6
55	в частности	4	5
56	представление о	2	5
57	в самом	4	5
58	отнюдь не	2	5
59	в связи	3	5
60	с этим	5	5
61	с одной	2	5
62	и на	7	5
63	и все	2	5
64	этом смысле	2	5
65	как и	4	5
66	связи с	3	5
67	по своему	2	5
68	то же	3	5
69	как мы	4	5
70	одной стороны	2	5
71	можно было	4	5
72	и это	2	5
73	не говоря	2	4
74	и есть	2	4
75	в этих	4	4
76	в своем	6	4
77	что на	3	4
78	как бы	2	4
79	не вполне	2	4
80	говоря уже	2	4
81	до тех	3	4
82	что она	2	4
83	все это	3	4
84	таким образом	6	4
85	а в	3	4
86	но если	3	4
87	и здесь	6	4
88	уже о	2	4
89	тем что	3	4
90	если бы	9	4
91	представить себе	3	4
92	что он	5	4
93	но не	3	4
94	тех пор	3	4
95	до сих	2	4
96	тот же	2	4
97	сих пор	2	4
98	если не	2	4
99	вообще говоря	2	4
100	уже в	4	3
101	в нашем	2	3
102	тому что	4	3
103	и от	4	3
104	из этих	4	3
105	вопрос о	3	3
106	к тому	12	3
107	и если	2	3
108	хотя и	4	3
109	никто не	3	3
110	один из	5	3
111	то это	2	3
112	в целом	4	3
113	и их	3	3
114	в их	3	3
115	то ни	2	3
116	не было	3	3
117	что для	4	3
118	в истории	5	3
119	его в	4	3
120	бы в	2	3
121	с тем	5	3
122	и к	2	3
123	одна из	2	3
124	нет и	2	3
125	даже не	3	3
126	с самого	2	3
127	для того	5	3
128	в голову	2	2
129	том числе	3	2
130	от ее	2	2
131	же его	2	2
132	в той	2	2
133	последние десятилетия	5	2
134	не в	2	2
135	но все	3	2
136	является не	2	2
137	независимо от	5	2
138	ведь мы	2	2
139	и сам	3	2
140	по поводу	3	2
141	в действительности	2	2
142	из которых	3	2
143	к нему	3	2
144	бы то	2	2
145	даже в	2	2
146	и хотя	2	2
147	или в	3	2
148	в н	5	2
149	в ней	3	2
150	точки зрения	4	2
151	то эта	2	2
152	по содержанию	2	2
153	частности в	2	2
154	в какой-то	2	2
155	для всех	3	2
156	в них	4	2
157	с и	4	2
158	об этом	2	2
159	не столь	2	2
160	в тех	3	2
161	в качестве	5	2
162	он не	2	2
163	что из	2	2
164	еще в	4	2
165	речь идет	3	2
166	и особенно	3	2
167	что и	7	2
168	или его	2	2
169	во всех	3	2
170	вместе с	9	2
171	в последние	4	2
172	еще более	2	2
173	в в	4	2
174	того чтобы	6	2
175	что их	2	2
176	той же	3	2
177	роль в	2	2
178	из самых	2	2
179	и ее	2	2
180	на это	2	2
181	которые в	2	2
182	из этого	2	2
183	и поэтому	3	2
184	это было	4	2
