N	2gram	Kanaev_Sov_1	Hudozhes
1	и в	7	14
2	а не	3	12
3	в том	4	12
4	не только	4	12
5	при этом	3	12
6	прежде всего	5	11
7	в этом	7	11
8	в себе	3	11
9	у него	2	9
10	как и	6	9
11	то же	3	9
12	в этой	3	8
13	в его	2	8
14	ничего не	6	8
15	это не	4	7
16	уже не	2	7
17	не в	3	7
18	еще не	3	7
19	как бы	4	7
20	не может	17	7
21	а в	4	7
22	что в	2	6
23	было бы	3	6
24	не менее	2	5
25	может быть	12	5
26	жизни и	4	5
27	по мнению	2	5
28	самом деле	2	5
29	точки зрения	12	5
30	но в	3	5
31	и все	3	4
32	и к	3	4
33	тем не	2	4
34	в самом	2	4
35	что она	3	4
36	из них	4	4
37	в конце	3	4
38	отнюдь не	3	3
39	с этим	2	3
40	как мы	2	3
41	говорить о	2	3
42	на этом	2	3
43	что при	2	3
44	такого рода	2	3
45	в нем	3	3
46	все же	3	3
47	приводит к	2	3
48	то и	2	3
49	все эти	5	3
50	и даже	2	3
51	с точки	5	3
52	и по	2	3
53	в таком	2	3
54	такой же	2	3
55	каждого из	2	2
56	говорить об	2	2
57	и потому	3	2
58	ясно что	3	2
59	вопрос о	4	2
60	мы знаем	2	2
61	одна из	3	2
62	и что	2	2
63	в целом	4	2
64	на его	2	2
65	как он	3	2
66	не знаем	2	2
67	что же	5	2
68	все это	3	2
69	и не	6	2
70	в системе	3	2
71	той же	2	2
72	в результате	6	2
73	так сказать	2	2
74	мы не	9	2
