N	3gram	Bakhtin_Fr_2	Vvedenie
1	о том что	3	12
2	не может быть	4	8
3	то же время	6	6
4	в то же	6	6
5	до сих пор	4	6
6	с другой стороны	3	5
7	не только в	5	4
8	с одной стороны	3	4
9	по сравнению с	2	4
10	в этом отношении	3	4
11	во всяком случае	2	4
12	в свое время	3	3
13	можно сказать что	2	3
14	в собственном смысле	2	3
15	как мы видели	2	3
16	большей или меньшей	3	3
17	но в то	3	3
18	но все же	2	3
19	в другом месте	2	2
20	с точки зрения	5	2
21	в известной мере	3	2
22	до наших дней	2	2
23	как мы уже	3	2
24	подобно тому как	2	2
