N	2gram	Savitsky_P_1	Analitik
1	в этом	10	18
2	в частности	2	16
3	и в	14	16
4	не только	17	16
5	в том	9	12
6	но и	6	12
7	и не	12	12
8	том что	4	12
9	в качестве	9	11
10	могут быть	3	10
11	как бы	4	10
12	а не	2	10
13	в пределах	8	9
14	отнюдь не	2	8
15	в сочетании	2	7
16	в себе	3	7
17	то что	4	7
18	а также	4	7
19	с другой	5	6
20	в мире	2	6
21	говорить о	2	6
22	может быть	5	6
23	но в	9	6
24	и к	4	5
25	с одной	3	5
26	не менее	2	4
27	в своем	4	4
28	столь же	3	4
29	не в	5	4
30	но не	3	4
31	тем самым	3	4
32	одной стороны	3	4
33	и тем	2	4
34	во всех	2	4
35	все это	2	4
36	как раз	2	4
37	не может	4	4
38	то же	9	4
39	хотя и	3	4
40	точки зрения	3	4
41	только в	7	4
42	не столько	2	3
43	прежде всего	3	3
44	есть в	2	3
45	было бы	6	3
46	и если	4	3
47	из них	2	3
48	со стороны	2	3
49	если бы	4	3
50	именно в	2	3
51	а в	4	3
52	с ними	3	3
53	сводится к	3	3
54	м и	2	3
55	в эту	2	3
56	я и	3	3
57	в общем	2	2
58	а ц	2	2
59	того что	2	2
60	о т	2	2
61	может ли	2	2
62	а л	4	2
63	по себе	4	2
64	л и	4	2
65	о н	3	2
66	же время	7	2
67	что в	4	2
68	и з	2	2
69	не о	2	2
70	в котором	4	2
71	ц и	2	2
72	н и	8	2
73	вслед за	3	2
74	отношения к	2	2
75	т е	3	2
76	еще более	2	2
77	в значительной	2	2
78	с точки	3	2
79	никак не	2	2
80	между тем	3	2
81	в то	7	2
82	в его	2	2
