N	3gram	Losev_Prob_2	Myshleni
1	для того чтобы	2	18
2	в этом случае	7	14
3	в том что	4	13
4	не только не	2	9
5	с самого начала	2	7
6	в данном случае	5	5
7	то же самое	5	5
8	с одной стороны	5	5
9	в самом деле	2	4
10	о том что	14	4
11	на то что	4	4
12	не может быть	3	4
13	заключается в том	2	4
14	и то что	7	3
15	не совпадает с	2	3
16	одной стороны и	3	3
17	тем не менее	12	3
18	можно сказать что	3	3
19	по этому поводу	2	3
20	до сих пор	4	3
21	содержит в себе	2	3
22	но и не	2	3
23	и той же	2	2
24	том что в	2	2
25	в себе в	2	2
26	точно так же	3	2
27	друг от друга	2	2
28	одной и той	2	2
29	на самом деле	2	2
