N	2gram	Berdyaev_N_1	Istorich
1	не только	5	18
2	может быть	7	17
3	никогда не	6	15
4	и в	16	15
5	но и	3	14
6	так же	2	13
7	что в	9	12
8	а в	2	12
9	то что	4	12
10	и не	11	11
11	в этом	7	11
12	с тем	3	9
13	еще не	3	9
14	потому что	4	9
15	он не	8	8
16	том что	2	7
17	и пр	3	7
18	в нем	5	7
19	вместе с	2	7
20	не в	6	7
21	связана с	2	6
22	наряду с	3	6
23	и что	2	6
24	в том	8	6
25	но в	2	6
26	и есть	10	5
27	с этим	2	5
28	прежде всего	4	5
29	к тому	3	5
30	как в	3	5
31	она не	3	5
32	же как	2	5
33	так и	2	5
34	что она	2	5
35	не может	16	5
36	а не	17	5
37	можно было	2	5
38	с одной	2	4
39	вопрос о	3	4
40	у него	2	4
41	но это	6	4
42	в ней	5	4
43	со всех	4	4
44	всех сторон	4	4
45	и с	2	4
46	и на	2	4
47	в себе	2	4
48	все эти	2	4
49	как это	2	3
50	одной стороны	2	3
51	должно было	2	3
52	о том	4	3
53	все это	5	3
54	роль в	2	3
55	мы не	2	3
56	тому как	3	3
57	подобно тому	3	3
58	как будто	2	3
59	и это	2	3
60	я не	2	2
61	зависит от	2	2
62	не было	4	2
63	могут быть	2	2
64	с другой	3	2
65	это не	4	2
66	не знал	2	2
67	в жизни	5	2
68	не знает	6	2
69	ни в	6	2
70	в новой	7	2
71	по существу	2	2
72	как и	7	2
73	такой же	2	2
74	одна из	2	2
75	но не	2	2
76	того чтобы	2	2
77	и для	4	2
78	хотя бы	2	2
79	с ее	5	2
80	во всех	3	2
81	не могла	2	2
82	другой стороны	2	2
83	когда мы	2	2
84	в русском	2	2
85	сказать что	3	2
86	еще до	2	2
