N	2gram	Bakhtin_Fr_2	Sovremen
1	не может	7	17
2	точки зрения	6	12
3	может быть	5	12
4	таким образом	7	11
5	в этом	15	7
6	и в	49	7
7	и не	15	6
8	как и	11	6
9	мы можем	2	6
10	ничего не	2	6
11	прежде всего	19	5
12	все эти	7	5
13	с точки	5	5
14	в условиях	2	5
15	как бы	11	4
16	мы видели	3	4
17	жизни и	7	4
18	вместе с	2	4
19	а в	4	4
20	не только	17	4
21	в том	3	4
22	в дальнейшем	2	4
23	их в	3	4
24	из них	3	4
25	точку зрения	2	4
26	мы должны	2	4
27	так как	6	4
28	уже в	5	3
29	все же	7	3
30	на этой	2	3
31	все это	9	3
32	не подлежит	2	3
33	в конце	2	3
34	то же	7	3
35	в нем	9	3
36	и к	4	3
37	в этой	10	3
38	одна из	4	3
39	еще не	2	3
40	при этом	5	3
41	было бы	3	3
42	и т.д	2	3
43	в одном	3	3
44	и все	3	3
45	в себе	4	3
46	в области	4	3
47	но в	4	3
48	и потому	5	3
49	совершенно не	2	2
50	у него	2	2
51	значение в	4	2
52	в нашем	2	2
53	и во	4	2
54	из этих	5	2
55	с одной	3	2
56	как мы	7	2
57	роль в	5	2
58	и даже	2	2
59	дает нам	2	2
60	но все	4	2
61	во всяком	2	2
62	времени и	6	2
63	могут быть	2	2
64	как известно	2	2
65	что в	2	2
66	не дает	3	2
67	тот же	5	2
68	со всеми	2	2
69	на его	2	2
70	такого рода	2	2
71	в самом	3	2
72	в его	18	2
73	всяком случае	2	2
