N	2gram	Tiupa_Hudo_1	Stilisti
1	и в	14	42
2	как бы	7	27
3	не только	12	27
4	прежде всего	11	22
5	но и	5	15
6	то же	9	15
7	и не	2	14
8	может быть	5	12
9	не может	7	12
10	точки зрения	5	11
11	как и	9	11
12	мы уже	4	11
13	отнюдь не	3	10
14	как мы	3	10
15	в этом	11	10
16	при этом	12	9
17	в то	8	9
18	то что	8	9
19	мы не	2	9
20	все же	3	8
21	в ней	4	8
22	что же	2	8
23	эти слова	2	8
24	в себе	11	8
25	и это	4	8
26	никогда не	6	7
27	и от	4	7
28	же время	8	7
29	и на	3	7
30	потому что	5	7
31	с его	5	7
32	было бы	6	7
33	а не	12	7
34	того чтобы	3	7
35	и его	5	7
36	только в	5	7
37	ничего не	8	7
38	не в	7	6
39	в этой	8	6
40	на его	2	6
41	в форме	2	6
42	в конце	4	6
43	и так	2	6
44	в нем	3	6
45	так и	13	6
46	слова в	2	5
47	тому что	4	5
48	своей жизни	2	5
49	а в	7	5
50	и с	4	5
51	того или	2	5
52	или иного	2	5
53	в его	8	5
54	с точки	3	5
55	той же	2	5
56	можно сказать	4	4
57	к тому	7	4
58	влияние на	2	4
59	о своей	2	4
60	в качестве	9	4
61	в самом	4	4
62	один из	4	4
63	все это	2	4
64	того что	4	4
65	о том	12	4
66	его в	3	4
67	но в	5	4
68	если бы	3	4
69	и к	4	4
70	или иную	2	4
71	человека не	2	4
72	не знаем	2	4
73	ту или	2	4
74	себя в	4	4
75	слово не	2	4
76	на него	2	4
77	а с	2	4
78	к своему	2	4
79	уже не	7	4
80	самом деле	5	4
81	можно было	5	4
82	так сказать	2	4
83	что у	3	3
84	перед нами	5	3
85	это не	7	3
86	хотя и	2	3
87	в целом	2	3
88	из них	4	3
89	жизни и	5	3
90	заключает в	2	3
91	во второй	5	3
92	лишь в	3	3
93	и даже	3	3
94	в начале	2	3
95	та же	4	3
96	и все	4	3
97	об этом	5	3
98	в ее	3	3
99	том что	16	3
100	еще не	7	3
101	в данной	2	3
102	да и	2	3
103	только на	2	3
104	слова как	2	3
105	на самом	2	3
106	и для	3	3
107	внутренней жизни	2	3
108	связи с	4	3
109	не знает	2	3
110	и поэтому	2	3
111	быть может	7	2
112	в частности	5	2
113	человека в	6	2
114	вопрос о	2	2
115	не нужно	2	2
116	в мире	3	2
117	в том	12	2
118	в предыдущей	3	2
119	для него	10	2
120	до конца	2	2
121	в пределах	3	2
122	несмотря на	4	2
123	значительной степени	2	2
124	в него	2	2
125	себе и	2	2
126	в этих	5	2
127	в первой	6	2
128	в связи	3	2
129	не было	4	2
130	этом отношении	3	2
131	все эти	3	2
132	должно быть	2	2
133	в своих	3	2
134	по своей	4	2
135	нет ничего	2	2
136	я и	2	2
137	ни к	2	2
138	однако в	2	2
139	с этим	3	2
140	ясно что	2	2
141	что он	9	2
142	только потому	2	2
143	но не	3	2
144	по своему	3	2
145	одной из	2	2
146	и когда	3	2
147	и потому	2	2
148	в своей	10	2
149	сих пор	2	2
150	как в	8	2
151	у себя	2	2
152	здесь не	2	2
153	в значительной	2	2
154	на наш	2	2
155	и он	5	2
156	про себя	2	2
157	с ним	4	2
158	литературного творчества	2	2
159	тем что	3	2
160	под воздействием	2	2
161	заметить что	2	2
