N	2gram	Tiupa_Disk_1	VeschiIm
1	не есть	2	49
2	не может	9	33
3	не только	28	31
4	может быть	17	29
5	и не	11	28
6	и в	16	26
7	то что	5	24
8	и есть	2	23
9	а не	22	20
10	только в	7	14
11	и что	2	13
12	того что	3	13
13	по себе	3	13
14	но и	14	12
15	сказать что	3	12
16	все же	3	12
17	в себя	5	12
18	и ее	2	12
19	что же	2	11
20	таким образом	3	11
21	общения с	3	11
22	то же	7	10
23	уже не	4	10
24	как бы	5	10
25	потому что	4	10
26	в том	23	9
27	в самом	3	9
28	прежде всего	11	9
29	что не	4	9
30	с ее	2	8
31	в себе	7	8
32	также и	3	7
33	в то	3	7
34	том что	19	7
35	указывает на	2	7
36	себя в	2	7
37	в этом	15	7
38	и как	6	6
39	что в	4	6
40	для него	4	6
41	со стороны	7	6
42	отличается от	2	6
43	точки зрения	3	6
44	но в	8	6
45	по крайней	2	6
46	крайней мере	2	6
47	не менее	2	5
48	это не	3	5
49	не в	7	5
50	свою очередь	3	5
51	еще не	14	5
52	должны быть	3	5
53	а в	5	5
54	как к	2	5
55	отнюдь не	8	5
56	в свою	3	5
57	в ее	3	5
58	но не	11	5
59	того же	3	5
60	в сущности	2	5
61	для себя	4	5
62	на себя	2	5
63	в своем	6	4
64	с другой	10	4
65	же время	4	4
66	точка зрения	2	4
67	из них	3	4
68	в их	5	4
69	и даже	3	4
70	с этим	3	4
71	о том	8	4
72	и все	2	4
73	как и	16	4
74	во всех	5	4
75	не предполагает	4	4
76	и о	4	4
77	и потому	3	4
78	оно не	2	4
79	что и	3	4
80	в данном	5	4
81	тем что	3	4
82	никогда не	2	3
83	можно сказать	5	3
84	к тому	5	3
85	более или	2	3
86	на этом	2	3
87	было в	2	3
88	в нем	9	3
89	отношение к	4	3
90	отношения к	2	3
91	к себе	2	3
92	но как	2	3
93	мы имеем	2	3
94	к другому	2	3
95	в одном	2	3
96	один из	3	3
97	что он	4	3
98	могла бы	2	3
99	себе не	3	3
100	в своей	5	3
101	так и	8	3
102	или менее	2	3
103	а с	5	3
104	хотя бы	3	3
105	тому как	3	3
106	подобно тому	2	3
107	и вообще	2	3
108	в основе	7	3
109	то она	2	2
110	в частности	9	2
111	но зато	2	2
112	смысл в	2	2
113	основе своей	2	2
114	в виду	2	2
115	и тем	2	2
116	данном случае	2	2
117	заключается в	3	2
118	во втором	4	2
119	в своих	3	2
120	в первом	3	2
121	то есть	20	2
122	однако это	2	2
123	ни к	6	2
124	но они	2	2
125	о чем	2	2
126	жизни в	2	2
127	и во	2	2
128	не с	3	2
129	различие между	2	2
130	в силу	5	2
131	в качестве	34	2
132	об этом	2	2
133	когда он	2	2
134	как в	10	2
135	мысли и	2	2
136	приводит к	2	2
137	тогда как	19	2
138	может и	2	2
139	как мы	2	2
140	своей собственной	2	2
141	и его	2	2
142	во всяком	2	2
143	на ее	2	2
144	в науке	2	2
145	в особенности	4	2
146	это было	2	2
