N	2gram	Trubetskoy_1	RusskieA
1	и в	14	36
2	не только	9	22
3	что в	4	19
4	том что	9	19
5	в том	17	17
6	но и	10	16
7	так как	4	15
8	во время	2	14
9	в этом	17	12
10	в других	2	11
11	как и	4	10
12	и т	3	10
13	вместе с	4	10
14	и на	5	10
15	потому что	5	10
16	а в	5	9
17	с тем	6	8
18	состоит в	2	8
19	из них	3	8
20	может быть	9	8
21	и по	3	8
22	о том	7	8
23	что они	3	7
24	что и	3	7
25	между тем	5	7
26	и не	19	6
27	для нас	2	6
28	при этом	5	6
29	уже не	2	6
30	таким образом	11	6
31	все это	6	6
32	в виде	3	6
33	то что	13	6
34	этом случае	3	5
35	все же	4	5
36	как будто	2	5
37	как бы	4	5
38	в течение	2	5
39	во многих	2	5
40	тому что	2	4
41	из этих	3	4
42	к тому	7	4
43	по существу	5	4
44	одна из	3	4
45	еще не	3	4
46	связи с	3	4
47	во всех	5	4
48	в некоторых	2	4
49	в их	4	4
50	в россии	6	4
51	не может	22	4
52	а с	2	4
53	и что	2	4
54	того что	3	4
55	но это	2	4
56	тем что	3	4
57	только в	5	4
58	для них	3	3
59	что это	3	3
60	по этому	2	3
61	в этих	2	3
62	в качестве	3	3
63	в своем	6	3
64	таким же	3	3
65	и к	6	3
66	не можем	2	3
67	несмотря на	3	3
68	только на	2	3
69	если в	6	3
70	в настоящее	2	3
71	приводит к	4	3
72	то же	11	3
73	с точки	9	3
74	так же	2	3
75	и те	2	3
76	их в	2	3
77	точки зрения	11	3
78	настоящее время	2	3
79	в области	2	3
80	не было	3	2
81	всех этих	3	2
82	и более	2	2
83	в частности	2	2
84	но даже	2	2
85	его и	2	2
86	между собой	5	2
87	только для	2	2
88	с этим	2	2
89	и потому	3	2
90	не просто	2	2
91	главным образом	3	2
92	их не	2	2
93	в нем	5	2
94	у него	2	2
95	так что	2	2
96	и как	3	2
97	в силу	2	2
98	их к	2	2
99	к вопросу	4	2
100	но не	4	2
101	быть и	2	2
102	в большинстве	3	2
103	она не	2	2
104	отнюдь не	7	2
105	том же	2	2
106	в ней	2	2
107	в его	4	2
108	и с	7	2
109	на этой	2	2
110	но она	2	2
111	для этого	3	2
112	тогда как	2	2
113	все эти	2	2
114	на самом	6	2
115	а не	2	2
116	и для	6	2
117	с ним	2	2
118	или в	3	2
119	в своих	6	2
120	этот вопрос	2	2
121	мы можем	2	2
122	себя и	5	2
123	на себя	2	2
124	но в	2	2
125	мы должны	7	2
126	большинстве случаев	2	2
