N	3gram	Losev_Prob_4	Vladivir
1	в том что	8	9
2	в связи с	3	8
3	в то время	2	6
4	тем не менее	10	6
5	во всяком случае	4	6
6	по крайней мере	6	4
7	содержит в себе	8	4
8	необходимо сказать что	3	4
9	о том что	3	3
10	более или менее	2	3
11	с точки зрения	11	3
12	в то же	2	3
13	у нас выше	3	3
14	точно так же	3	3
15	в данном случае	5	2
16	хотя и не	2	2
17	не только в	4	2
18	не говоря уже	2	2
19	а то что	2	2
20	сам по себе	6	2
21	можно было бы	4	2
22	в том чтобы	2	2
23	или по крайней	2	2
24	заключается в том	2	2
