N	2gram	Losev_Dial_2	Literetu
1	а не	16	20
2	и в	19	19
3	может быть	20	17
4	то же	12	12
5	и не	30	11
6	в том	14	10
7	как и	10	10
8	но и	12	10
9	же время	5	9
10	не может	9	9
11	в мире	2	9
12	в этом	8	9
13	в то	6	9
14	с другой	5	8
15	не только	19	8
16	и даже	14	8
17	том что	10	7
18	то что	14	7
19	так и	10	7
20	с одной	2	7
21	не менее	3	6
22	в себе	15	6
23	при этом	4	6
24	себя в	2	6
25	я не	6	5
26	но не	6	5
27	он не	4	5
28	вместе с	2	5
29	того что	6	5
30	что в	7	4
31	в частности	2	4
32	в сфере	2	4
33	прежде всего	8	4
34	не в	8	4
35	отнюдь не	6	4
36	в ней	2	4
37	даже в	3	4
38	жизни и	6	4
39	так что	7	4
40	другой стороны	4	4
41	тем что	2	4
42	точки зрения	12	4
43	в искусстве	2	4
44	в области	2	4
45	я и	2	4
46	никогда не	9	3
47	в поэзии	7	3
48	личности в	8	3
49	что он	6	3
50	в нем	10	3
51	и как	10	3
52	но это	7	3
53	в этой	3	3
54	в сущности	2	3
55	во всех	2	3
56	данном случае	2	3
57	себе и	3	3
58	а именно	5	3
59	в их	2	3
60	как я	2	3
61	так как	14	3
62	тем же	2	3
63	с точки	8	3
64	а в	4	3
65	и его	5	3
66	и то	7	3
67	и с	5	3
68	в данном	3	3
69	в другом	4	3
70	ничего не	3	3
71	на этом	2	2
72	уже в	4	2
73	не было	3	2
74	сознания на	2	2
75	же как	3	2
76	с тем	2	2
77	в какой	2	2
78	в противоположность	2	2
79	по крайней	9	2
80	в конце	2	2
81	в виду	5	2
82	в одном	4	2
83	в жизни	2	2
84	в каждом	2	2
85	вовсе не	13	2
86	и к	7	2
87	крайней мере	9	2
88	в ее	4	2
89	тем не	2	2
90	я по	2	2
91	ведь мы	2	2
92	очевидно что	2	2
93	и нет	2	2
94	ведь это	3	2
95	одно и	4	2
96	еще не	4	2
97	было бы	3	2
98	не могу	6	2
99	не по	2	2
100	как бы	14	2
101	если в	2	2
102	себе не	3	2
103	говоря уже	2	2
104	что и	5	2
105	уже о	2	2
106	как он	4	2
107	все же	4	2
108	с ее	2	2
109	и т	17	2
110	же в	2	2
111	из них	3	2
112	могут быть	4	2
113	то как	3	2
114	в истории	2	2
115	не говоря	2	2
116	как раз	5	2
117	т п	2	2
118	и только	4	2
119	не раз	2	2
120	все равно	5	2
121	а потому	2	2
122	это как	3	2
123	но только	3	2
124	уже не	3	2
125	и что	5	2
126	что не	6	2
127	хотя бы	4	2
128	на свете	5	2
129	в своих	2	2
130	в результате	2	2
131	потому что	14	2
132	одно из	4	2
133	но как	5	2
134	что я	2	2
135	о том	5	2
136	как это	7	2
137	с ним	4	2
138	поэзии и	4	2
139	но в	2	2
