N	2gram	Potebnia_M_3	Narrotol
1	не только	21	32
2	может быть	28	25
3	но и	19	23
4	и не	15	20
5	и в	30	19
6	то есть	34	19
7	в том	32	18
8	в этом	10	17
9	том что	18	14
10	не в	15	14
11	а не	15	12
12	тогда как	2	12
13	то что	18	11
14	а в	12	11
15	не может	6	10
16	точки зрения	2	10
17	при этом	3	9
18	со стороны	3	9
19	так и	11	9
20	в его	4	9
21	с другой	7	8
22	в себе	16	8
23	как и	10	7
24	еще не	5	7
25	к тому	7	7
26	все же	2	7
27	как в	10	7
28	по отношению	5	7
29	с одной	7	7
30	одной стороны	3	7
31	что он	6	6
32	отношению к	5	6
33	но не	7	6
34	именно в	3	6
35	тем самым	7	6
36	о том	2	6
37	и как	5	5
38	по себе	16	5
39	можно сказать	3	5
40	не все	4	5
41	в форме	2	5
42	уже не	6	5
43	к нему	3	5
44	и его	4	5
45	в этой	2	5
46	далеко не	4	5
47	перед нами	2	4
48	прежде всего	3	4
49	в нем	9	4
50	у него	2	4
51	что не	8	4
52	то же	23	4
53	же в	2	4
54	но все	2	4
55	в силу	3	4
56	если не	4	4
57	же время	5	4
58	было бы	9	4
59	связи с	2	4
60	вслед за	3	4
61	одной из	2	4
62	как бы	3	4
63	и тем	5	4
64	другой стороны	4	4
65	те же	6	4
66	не столько	2	4
67	сказать что	5	4
68	только в	21	4
69	и с	2	4
70	не существует	3	3
71	не менее	5	3
72	а с	2	3
73	что в	17	3
74	могут быть	3	3
75	уже в	5	3
76	из этих	9	3
77	в свою	3	3
78	тем не	3	3
79	ни в	2	3
80	это и	2	3
81	что они	2	3
82	свою очередь	3	3
83	к содержанию	3	3
84	в ней	8	3
85	он не	4	3
86	и даже	2	3
87	из двух	3	3
88	один из	4	3
89	не есть	17	3
90	не будет	3	3
91	в первом	3	3
92	из них	6	3
93	жизни и	2	3
94	в ее	2	3
95	на него	3	3
96	этом отношении	2	3
97	как мы	7	3
98	столь же	4	3
99	то или	2	3
100	и на	3	3
101	между тем	9	3
102	тем что	7	3
103	в то	10	3
104	бы быть	2	3
105	что это	4	3
106	в произведении	3	3
107	бы не	4	2
108	зависит от	6	2
109	независимо от	5	2
110	себя и	4	2
111	в своем	5	2
112	себе не	4	2
113	в какой	2	2
114	первом случае	2	2
115	оно не	4	2
116	та же	2	2
117	не как	2	2
118	точно так	12	2
119	быть может	3	2
120	не всегда	2	2
121	в собственном	2	2
122	что именно	4	2
123	ему в	2	2
124	есть в	3	2
125	более или	3	2
126	и после	2	2
127	и тот	2	2
128	для него	9	2
129	языка и	2	2
130	она не	2	2
131	несмотря на	2	2
132	например в	6	2
133	и потому	4	2
134	так или	2	2
135	даже в	2	2
136	не имеет	6	2
137	его жизни	2	2
138	от одной	2	2
139	зрения и	2	2
140	время в	3	2
141	и до	2	2
142	или менее	3	2
143	отношение к	2	2
144	так же	3	2
145	не было	4	2
146	самом деле	2	2
147	к другой	3	2
148	что мы	8	2
149	на чем	2	2
150	но без	2	2
151	в таком	3	2
152	или в	3	2
153	тому как	5	2
154	тем более	4	2
155	одно из	5	2
156	не то	3	2
157	подобно тому	2	2
158	но как	2	2
159	говорить о	3	2
160	этого слова	11	2
161	и все	3	2
162	его в	3	2
163	когда мы	2	2
164	что по	2	2
165	таком случае	2	2
