N	2gram	Bakhtin_sl_1	Russkaja
1	не может	14	22
2	и не	16	19
3	в том	3	17
4	в этом	12	17
5	и в	41	14
6	с другом	2	14
7	друг с	2	14
8	таким образом	9	11
9	то же	14	11
10	точки зрения	16	11
11	же время	12	10
12	но и	16	10
13	в то	14	10
14	том что	2	9
15	не только	16	9
16	в себе	3	9
17	с точки	8	9
18	может быть	14	9
19	во всяком	7	9
20	прежде всего	8	8
21	к тому	3	7
22	в данном	3	7
23	о том	3	7
24	и с	4	7
25	на самом	2	6
26	и к	5	6
27	для него	3	6
28	для того	2	6
29	всяком случае	5	6
30	все это	5	6
31	в своем	3	6
32	и для	4	6
33	между собой	2	5
34	хотя бы	3	5
35	и на	14	5
36	или иной	9	5
37	при этом	6	5
38	до сих	2	5
39	было бы	3	5
40	конечно не	3	5
41	в своей	7	5
42	он не	3	5
43	никогда не	3	5
44	в нем	30	5
45	сих пор	2	5
46	во всех	17	5
47	а между	2	5
48	в последние	2	5
49	по существу	3	5
50	а в	6	5
51	потому что	2	5
52	только в	6	5
53	между тем	2	5
54	но не	2	4
55	не могут	3	4
56	как и	4	4
57	более или	3	4
58	как бы	12	4
59	все же	7	4
60	себя в	9	4
61	или менее	3	4
62	в их	4	4
63	точку зрения	3	4
64	не в	7	4
65	можно было	2	4
66	и то	2	4
67	в его	13	4
68	его в	3	4
69	так как	3	4
70	может не	8	3
71	для них	2	3
72	на том	2	3
73	именно в	3	3
74	в большинстве	10	3
75	из этих	3	3
76	что все	2	3
77	этом случае	2	3
78	всех этих	4	3
79	в другом	2	3
80	то в	2	3
81	лишь в	4	3
82	что они	2	3
83	должно быть	2	3
84	в качестве	3	3
85	лучшем случае	2	3
86	еще не	4	3
87	в самом	5	3
88	одной из	3	3
89	той или	9	3
90	и потому	4	3
91	точке зрения	2	3
92	не есть	2	3
93	и т	28	3
94	из них	3	3
95	все они	7	3
96	данном случае	3	3
97	не было	3	3
98	того что	3	3
99	и по	2	3
100	друг друга	3	3
101	в лучшем	2	3
102	или в	8	3
103	и во	3	3
104	в виде	2	3
105	себя от	2	3
106	связи с	2	3
107	из этого	3	3
108	одна из	2	3
109	в сознании	2	3
110	а с	2	2
111	нисколько не	2	2
112	одному из	2	2
113	в частности	2	2
114	у него	3	2
115	друг другу	2	2
116	от этой	2	2
117	его и	3	2
118	другом случае	2	2
119	бы его	2	2
120	будучи по	2	2
121	и от	4	2
122	с этим	3	2
123	или иного	2	2
124	бы ни	3	2
125	том и	2	2
126	уже не	2	2
127	следовательно и	3	2
128	так что	2	2
129	она не	3	2
130	совершенно не	2	2
131	и о	2	2
132	в ней	4	2
133	могут не	2	2
134	в котором	2	2
135	отношении к	6	2
136	на почве	4	2
137	и тем	2	2
138	для нас	2	2
139	быть и	4	2
140	тому что	2	2
141	все эти	9	2
142	только на	2	2
143	а не	15	2
144	и наконец	4	2
145	и даже	6	2
146	к нему	5	2
147	так же	2	2
148	в других	3	2
149	и те	2	2
150	том же	4	2
151	в результате	3	2
152	мы уже	2	2
153	того или	2	2
154	в этих	2	2
155	большинстве случаев	6	2
156	с ним	7	2
157	но в	8	2
